x,y,cluster,income_decile
-7.2871814,16.079105,3,7.0
-34.9076,-32.45378,4,3.0
20.787888,33.722885,3,6.0
-11.063229,16.91173,1,4.0
36.271587,22.488169,3,6.0
-52.173965,-44.655575,4,2.0
2.1102583,18.640337,3,6.0
-59.60287,29.610703,1,1.0
24.435682,-6.0654316,3,1.0
-19.246674,27.821777,1,3.0
-11.949002,16.203087,1,1.0
-30.000343,14.967523,1,1.0
63.249462,35.610897,0,5.0
-39.709232,20.416555,1,2.0
-12.139917,14.5418415,1,1.0
-19.666504,31.470888,1,2.0
-37.17268,-33.03414,4,2.0
-12.895323,15.67806,1,5.0
-41.145668,-41.442562,4,8.0
35.204533,-8.639661,1,6.0
-35.592278,-34.625412,4,2.0
-62.106712,6.7286124,1,9.0
-46.014698,-23.460484,4,7.0
-20.131174,10.880756,1,7.0
-40.228447,-13.209167,1,9.0
16.238346,58.306458,1,3.0
42.089455,-10.094364,3,5.0
44.12531,-10.403797,3,8.0
34.347588,21.006453,1,4.0
8.020196,20.277061,3,7.0
6.680722,28.817924,3,9.0
23.3289,42.581593,3,8.0
-61.535263,0.8892347,1,3.0
5.7405787,21.325335,1,3.0
26.968798,-4.7508764,3,7.0
-50.28977,-38.19006,4,2.0
-25.073118,25.546446,1,5.0
12.929221,23.973713,3,7.0
-0.42443702,48.861435,1,6.0
-5.553159,22.44018,1,7.0
-54.8368,5.252908,1,2.0
-11.429487,18.866972,1,3.0
28.235317,13.383385,3,6.0
-37.464745,19.304127,1,4.0
-32.48133,-6.5175767,1,2.0
60.224335,42.909958,0,6.0
-51.668644,-42.24189,4,2.0
24.864063,45.68998,1,4.0
63.347366,44.176304,0,5.0
-49.810272,39.810402,1,2.0
-45.47569,-43.69955,4,3.0
-45.044197,-43.458786,4,6.0
-56.973274,7.423704,1,1.0
-36.387886,49.122913,1,3.0
-38.399776,43.219044,1,1.0
-44.27544,49.64415,1,2.0
-44.90248,49.710575,1,1.0
-7.0400863,37.173325,1,3.0
9.380763,-80.52135,4,2.0
-42.289852,52.094215,1,1.0
-2.3396637,8.270725,3,3.0
49.382954,10.674601,3,6.0
-31.769108,-31.7916,4,2.0
27.244228,-58.818974,1,1.0
8.191141,6.529204,3,1.0
22.939323,4.848766,3,5.0
33.811935,12.041996,3,4.0
-12.13631,-56.253777,1,3.0
-55.042534,-44.251564,4,4.0
24.738697,48.223946,1,3.0
29.70086,-25.840614,3,5.0
-13.346027,17.508501,1,1.0
-2.9299488,-39.064743,1,1.0
-67.43652,7.8508244,1,1.0
-7.8430977,8.717872,1,1.0
-65.28088,9.11182,1,2.0
-7.8965774,8.759131,1,1.0
-48.865685,-20.51183,4,1.0
-39.601936,24.256968,1,2.0
-66.81685,9.61421,1,1.0
-55.91627,33.890015,1,1.0
-56.80778,35.013306,1,7.0
-55.96392,6.0744658,1,2.0
-20.512554,55.92959,1,6.0
29.686586,40.057293,3,9.0
8.567885,26.44058,1,5.0
27.733685,44.726856,1,5.0
28.482252,45.01871,1,8.0
-1.4163412,52.1745,1,1.0
23.131563,-7.355424,3,4.0
-7.2873645,-5.0123305,1,5.0
22.818914,9.530345,3,7.0
28.5813,-14.284561,1,8.0
-42.388596,3.3783865,1,6.0
-21.202461,48.895977,1,7.0
-3.4597223,-8.93206,2,10.0
-44.14631,47.121773,1,3.0
16.74112,39.69373,1,5.0
-19.313597,26.985765,1,7.0
-52.90833,37.39739,1,1.0
-39.643135,-31.73232,4,6.0
43.498566,11.090447,3,10.0
15.28716,54.049686,1,4.0
35.773457,-6.732164,3,9.0
43.054504,-8.752293,3,10.0
23.374458,-2.649895,3,9.0
28.73847,47.910732,1,3.0
19.892824,3.6959755,3,7.0
1.2624261,63.63172,1,1.0
44.373817,-7.8896933,3,9.0
14.364435,53.38311,1,5.0
-32.659393,-33.44005,4,7.0
24.34839,-4.174127,3,6.0
-8.7699175,39.27654,1,1.0
-33.95542,-37.65736,4,1.0
33.758633,-5.5253406,3,6.0
-24.753448,9.095988,1,1.0
15.083784,-33.47645,3,6.0
0.20575534,-36.428864,1,1.0
-22.790007,-42.6091,4,5.0
-11.163244,-34.494087,1,4.0
-52.98796,39.359985,1,4.0
-24.0727,16.720453,1,5.0
-13.846604,16.012045,1,2.0
0.28147706,-36.992012,1,2.0
24.464523,15.928431,3,7.0
15.067753,-31.617594,3,8.0
7.2416043,-29.51992,1,2.0
-55.899223,28.951979,1,
-8.922483,-24.769516,1,4.0
35.11221,-8.455184,3,1.0
23.744974,17.970942,1,3.0
-44.93304,-40.445732,4,7.0
-11.696014,-20.495625,1,3.0
11.624165,-39.655815,3,6.0
11.5756855,-39.604836,3,6.0
0.58909786,-26.298004,1,7.0
10.053529,-39.198124,1,4.0
-33.953182,-52.319126,4,2.0
1.591877,-27.940424,3,5.0
-10.802983,-28.886576,1,3.0
-46.557922,-15.284014,4,1.0
-33.972733,-52.344913,4,3.0
-8.238164,-50.16619,1,2.0
-6.6097655,-45.14321,1,6.0
-18.91842,-52.20245,4,4.0
-4.346364,-50.516045,1,6.0
-6.4184213,-34.304802,1,1.0
-35.618065,-14.454566,1,6.0
-6.5574894,-43.927055,1,3.0
-6.0791783,-44.44479,1,4.0
10.592115,-43.09775,3,5.0
10.825246,-36.470036,3,3.0
-47.054157,-14.709729,4,3.0
1.2977632,-29.389141,1,1.0
56.7167,38.015778,0,6.0
-4.9305415,74.77108,7,4.0
-5.654404,-39.014343,1,7.0
1.6519269,-33.95347,3,3.0
56.322456,38.03257,0,6.0
-23.512426,-47.724236,4,5.0
10.478304,6.335279,3,5.0
4.8026643,-7.756704,2,9.0
-22.238327,53.09736,1,9.0
49.92344,13.262835,3,10.0
-57.51359,35.911922,1,9.0
4.7980356,-7.704578,2,9.0
-49.49332,24.737913,1,3.0
-33.475014,1.173753,1,10.0
-25.630833,-6.201642,1,9.0
-39.618996,19.947502,1,1.0
31.41147,-57.34656,3,9.0
-15.984353,-23.523767,1,5.0
-39.891582,-10.100712,1,8.0
-7.143099,42.50085,1,5.0
-41.587807,-7.813519,1,1.0
27.556616,-58.125042,1,3.0
40.03148,13.139801,3,8.0
15.49671,24.829239,3,10.0
-40.666386,-2.5882535,1,3.0
-18.319632,53.21344,3,7.0
-21.242706,24.943811,3,9.0
-44.010468,50.552917,1,1.0
-3.6796288,36.258568,1,5.0
-4.5766473,7.8978753,3,5.0
22.114931,43.39707,3,6.0
21.669651,41.071377,3,9.0
-5.812309,8.400835,1,5.0
-26.029383,27.549295,3,6.0
-37.000717,29.855326,1,1.0
-4.293154,-11.818082,2,6.0
-2.526928,-26.299118,1,5.0
2.8281567,-11.557792,2,10.0
-3.4068813,5.6478624,3,5.0
-1.3578113,-13.918858,1,2.0
-22.880247,32.147915,1,5.0
16.157307,35.6391,1,7.0
64.97777,35.01487,0,8.0
-41.18402,-40.956467,4,8.0
