variable,variable_label,value,value_label
c16_5,Humidity  (as complaint about housing or environment),1,
c16_5,Humidity  (as complaint about housing or environment),2,
c16_5,Humidity  (as complaint about housing or environment),3,
c16_6,Leaking roof  (as complaint about housing or environment),1,
c16_6,Leaking roof  (as complaint about housing or environment),2,
c16_6,Leaking roof  (as complaint about housing or environment),3,
c16_7,Dilapidated  walls and floor  (as complaint about housing or environment),1,
c16_7,Dilapidated  walls and floor  (as complaint about housing or environment),2,
c16_7,Dilapidated  walls and floor  (as complaint about housing or environment),3,
c16_8,Dilapidated window frames and doors  (as complaint about housing or environment),1,
c16_8,Dilapidated window frames and doors  (as complaint about housing or environment),2,
c16_8,Dilapidated window frames and doors  (as complaint about housing or environment),3,
c16_9,Heavy traffic  (as complaint about housing or environment),1,
c16_9,Heavy traffic  (as complaint about housing or environment),2,
c16_9,Heavy traffic  (as complaint about housing or environment),3,
c16_10,Industrial pollution  (as complaint about housing or environment),1,
c16_10,Industrial pollution  (as complaint about housing or environment),2,
c16_10,Industrial pollution  (as complaint about housing or environment),3,
c16_11,The elevator is frequently out of orde  (as complaint about housing or environment),1,
c16_11,The elevator is frequently out of orde  (as complaint about housing or environment),2,
c16_11,The elevator is frequently out of orde  (as complaint about housing or environment),3,
c16_12,Bad water supply  (as complaint about housing or environment),1,
c16_12,Bad water supply  (as complaint about housing or environment),2,
c16_12,Bad water supply  (as complaint about housing or environment),3,
c16_13,Bad garbage evacuation  (as complaint about housing or environment),1,
c16_13,Bad garbage evacuation  (as complaint about housing or environment),2,
c16_13,Bad garbage evacuation  (as complaint about housing or environment),3,
c16_14,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment),1,
c16_14,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment),2,
c16_14,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment),3,
c16_15,Lack of green areas (as complaint about housing or environment),1,
c16_15,Lack of green areas (as complaint about housing or environment),2,
c16_15,Lack of green areas (as complaint about housing or environment),3,
c16_16,Other  (as complaint about housing or environment),1,
c16_16,Other  (as complaint about housing or environment),2,
c16_16,Other  (as complaint about housing or environment),3,
c17,Estimate your dwelling conditions?,1,very good
c17,Estimate your dwelling conditions?,2,good
c17,Estimate your dwelling conditions?,3,satisfactory
c17,Estimate your dwelling conditions?,4,bad
c17,Estimate your dwelling conditions?,5,very bad
c18,"Did you renovate your dwelling (i.e., construction work, carpentry, painting)",1,"yes, during the last year"
c18,"Did you renovate your dwelling (i.e., construction work, carpentry, painting)",2,"yes,years ago"
c18,"Did you renovate your dwelling (i.e., construction work, carpentry, painting)",3,no
c20_3,"How much money did the household spend?, (Euro)",Sysmiss,
c21,Are you at the moment building a house for your permanent living?,1,
c21,Are you at the moment building a house for your permanent living?,2,
c22_3,How much money have you spent for building the new house?(Euro),Sysmiss,
c23,Do you have another dwelling owned besides the one where you live?,1,"1. Yes, I give it for rent"
c23,Do you have another dwelling owned besides the one where you live?,2,"Yes, it is used as an area for our own use"
c23,Do you have another dwelling owned besides the one where you live?,3,other
c23,Do you have another dwelling owned besides the one where you live?,4,no
c24_2,"If yes, how much money do you receive from renting per month? (US$)",Sysmiss,
c24_3,"If yes, how much money do you receive from renting per month? (Euro)",Sysmiss,
c25_1,HH member has access  to computer at home,1,
c25_1,HH member has access  to computer at home,Sysmiss,
c25_2,HH member has access to computer in other place,1,
c25_2,HH member has access to computer in other place,Sysmiss,
c25_3,HH member has access to Internet at home permanent,1,
c25_3,HH member has access to Internet at home permanent,Sysmiss,
c25_4,HH has access to Internet  at home non permanent,1,
c25_4,HH has access to Internet  at home non permanent,Sysmiss,
c25_5,HH members has access to Internet at working place,1,
c25_5,HH members has access to Internet at working place,Sysmiss,
c25_6,HH members has access to Internet at educational institution,1,
c25_6,HH members has access to Internet at educational institution,Sysmiss,
c25_7,HH members has access to Internet at others h/h,1,
c25_7,HH members has access to Internet at others h/h,Sysmiss,
c25_8,HH members has access to Internet at public centre of Internet access (free),1,
c25_8,HH members has access to Internet at public centre of Internet access (free),Sysmiss,
c25_9,HH members has access to Internet at public centre of Internet access (paid),1,
c25_9,HH members has access to Internet at public centre of Internet access (paid),Sysmiss,
c25_10,HH members has access to Internet through cellphone from any locality,1,
c25_10,HH members has access to Internet through cellphone from any locality,Sysmiss,
c25_11,HH members has access to Internet  from other place through moving set,1,
c25_11,HH members has access to Internet  from other place through moving set,Sysmiss,
c26,Does someone in  household own a car or truck?,1,Yes
c26,Does someone in  household own a car or truck?,2,No
c26,Does someone in  household own a car or truck?,Sysmiss,
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",1,Cars
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",2,Minivan/Buses
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",3,Taxi
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",4,Train
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",5,Carts
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",6,Horse/donkey
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",7,Bicycle
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",8,Walking
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",Sysmiss,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",1,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",2,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",3,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",4,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",Sysmiss,
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,1,Cars
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,2,Minivan/Buses
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,3,Taxi
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,4,Train
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,5,Carts
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,6,Horse/donkey
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,7,Bicycle
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,8,Walking
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,Sysmiss,
c28_2_2,Selling agricultural products or production Days per Month,1,
c28_2_2,Selling agricultural products or production Days per Month,2,
c28_2_2,Selling agricultural products or production Days per Month,3,
c28_2_2,Selling agricultural products or production Days per Month,4,
c28_2_2,Selling agricultural products or production Days per Month,5,
c28_2_2,Selling agricultural products or production Days per Month,6,
c28_2_2,Selling agricultural products or production Days per Month,7,
c28_2_2,Selling agricultural products or production Days per Month,8,
c28_2_2,Selling agricultural products or production Days per Month,10,
c28_2_2,Selling agricultural products or production Days per Month,12,
c28_2_2,Selling agricultural products or production Days per Month,15,
c28_2_2,Selling agricultural products or production Days per Month,20,
c28_2_2,Selling agricultural products or production Days per Month,25,
c28_2_2,Selling agricultural products or production Days per Month,30,
c28_2_2,Selling agricultural products or production Days per Month,Sysmiss,
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,1,Cars
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,2,Minivan/Buses
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,3,Taxi
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,4,Train
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,5,Carts
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,6,Horse/donkey
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,7,Bicycle
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,8,Walking
c28_3_1_1,Going to a job outside of your community Usual Mode of Road Transportation,Sysmiss,
c28_3_1_2,Going to a job outside of your community Days per Month,1,
c28_3_1_2,Going to a job outside of your community Days per Month,2,
c28_3_1_2,Going to a job outside of your community Days per Month,3,
c28_3_1_2,Going to a job outside of your community Days per Month,4,
c28_3_1_2,Going to a job outside of your community Days per Month,6,
c28_3_1_2,Going to a job outside of your community Days per Month,7,
c28_3_1_2,Going to a job outside of your community Days per Month,8,
c28_3_1_2,Going to a job outside of your community Days per Month,10,
c28_3_1_2,Going to a job outside of your community Days per Month,12,
c28_3_1_2,Going to a job outside of your community Days per Month,14,
c28_3_1_2,Going to a job outside of your community Days per Month,15,
c28_3_1_2,Going to a job outside of your community Days per Month,18,
c28_3_1_2,Going to a job outside of your community Days per Month,20,
c28_3_1_2,Going to a job outside of your community Days per Month,21,
c28_3_1_2,Going to a job outside of your community Days per Month,22,
c28_3_1_2,Going to a job outside of your community Days per Month,23,
c28_3_1_2,Going to a job outside of your community Days per Month,24,
c28_3_1_2,Going to a job outside of your community Days per Month,25,
c28_3_1_2,Going to a job outside of your community Days per Month,26,
c28_3_1_2,Going to a job outside of your community Days per Month,27,
c28_3_1_2,Going to a job outside of your community Days per Month,28,
c28_3_1_2,Going to a job outside of your community Days per Month,29,
c28_3_1_2,Going to a job outside of your community Days per Month,30,
c28_3_1_2,Going to a job outside of your community Days per Month,Sysmiss,
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,1,Cars
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,2,Minivan/Buses
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,3,Taxi
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,4,Train
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,5,Carts
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,6,Horse/donkey
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,7,Bicycle
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,8,Walking
c28_3_2_1,Going to a job outside of your community Usual Mode of Road Transportation,Sysmiss,
c28_3_2_2,Going to a job outside of your community Days per Month,1,
c28_3_2_2,Going to a job outside of your community Days per Month,2,
c28_3_2_2,Going to a job outside of your community Days per Month,7,
c28_3_2_2,Going to a job outside of your community Days per Month,8,
c28_3_2_2,Going to a job outside of your community Days per Month,10,
c28_3_2_2,Going to a job outside of your community Days per Month,15,
c28_3_2_2,Going to a job outside of your community Days per Month,18,
c28_3_2_2,Going to a job outside of your community Days per Month,20,
c28_3_2_2,Going to a job outside of your community Days per Month,21,
c28_3_2_2,Going to a job outside of your community Days per Month,22,
c28_3_2_2,Going to a job outside of your community Days per Month,23,
c28_3_2_2,Going to a job outside of your community Days per Month,24,
c28_3_2_2,Going to a job outside of your community Days per Month,25,
c28_3_2_2,Going to a job outside of your community Days per Month,26,
c28_3_2_2,Going to a job outside of your community Days per Month,27,
c28_3_2_2,Going to a job outside of your community Days per Month,28,
c28_3_2_2,Going to a job outside of your community Days per Month,30,
c28_3_2_2,Going to a job outside of your community Days per Month,Sysmiss,
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,1,Cars
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,2,Minivan/Buses
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,3,Taxi
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,4,Train
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,5,Carts
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,6,Horse/donkey
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,7,Bicycle
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,8,Walking
c28_3_3_1,Going to a job outside of your community Usual Mode of Road Transportation,Sysmiss,
c28_3_3_3,Going to a job outside of your community Distance (km),4,
c28_3_3_3,Going to a job outside of your community Distance (km),7,
c28_3_3_3,Going to a job outside of your community Distance (km),10,
c28_3_3_3,Going to a job outside of your community Distance (km),14,
c28_3_3_3,Going to a job outside of your community Distance (km),15,
c28_3_3_3,Going to a job outside of your community Distance (km),20,
c28_3_3_3,Going to a job outside of your community Distance (km),30,
c28_3_3_3,Going to a job outside of your community Distance (km),35,
c28_3_3_3,Going to a job outside of your community Distance (km),40,
c28_3_3_3,Going to a job outside of your community Distance (km),41,
c28_3_3_3,Going to a job outside of your community Distance (km),55,
c28_3_3_3,Going to a job outside of your community Distance (km),Sysmiss,
c28_4_1,Other Usual Mode of Road Transportation,1,Cars
c28_4_1,Other Usual Mode of Road Transportation,2,Minivan/Buses
c28_4_1,Other Usual Mode of Road Transportation,3,Taxi
c28_4_1,Other Usual Mode of Road Transportation,4,Train
c28_4_1,Other Usual Mode of Road Transportation,5,Carts
c28_4_1,Other Usual Mode of Road Transportation,6,Horse/donkey
c28_4_1,Other Usual Mode of Road Transportation,7,Bicycle
c28_4_1,Other Usual Mode of Road Transportation,8,Walking
c28_4_1,Other Usual Mode of Road Transportation,Sysmiss,
c28_4_2,Other Days per Month,1,
c28_4_2,Other Days per Month,2,
c28_4_2,Other Days per Month,3,
c28_4_2,Other Days per Month,4,
c28_4_2,Other Days per Month,5,
c28_4_2,Other Days per Month,6,
c28_4_2,Other Days per Month,7,
c28_4_2,Other Days per Month,8,
c28_4_2,Other Days per Month,10,
c28_4_2,Other Days per Month,12,
c28_4_2,Other Days per Month,14,
c28_4_2,Other Days per Month,15,
c28_4_2,Other Days per Month,16,
c28_4_2,Other Days per Month,17,
c28_4_2,Other Days per Month,18,
c28_4_2,Other Days per Month,20,
c28_4_2,Other Days per Month,21,
c28_4_2,Other Days per Month,22,
c28_4_2,Other Days per Month,23,
c28_4_2,Other Days per Month,24,
c28_4_2,Other Days per Month,25,
c28_4_2,Other Days per Month,30,
c28_4_2,Other Days per Month,Sysmiss,
c29_1_1,Health Post Transportation Mode,1,Cars
c29_1_1,Health Post Transportation Mode,2,Minivan/Buses
c29_1_1,Health Post Transportation Mode,3,Taxi
c29_1_1,Health Post Transportation Mode,4,Train
c29_1_1,Health Post Transportation Mode,5,Carts
c29_1_1,Health Post Transportation Mode,6,Horse/donkey
c29_1_1,Health Post Transportation Mode,7,Bicycle
c29_1_1,Health Post Transportation Mode,8,Walking
c29_1_1,Health Post Transportation Mode,Sysmiss,
c29_2_1,Hospitals (Emergency) Transportation Mode,1,
c29_2_1,Hospitals (Emergency) Transportation Mode,2,
c29_2_1,Hospitals (Emergency) Transportation Mode,3,
c29_2_1,Hospitals (Emergency) Transportation Mode,4,
c29_2_1,Hospitals (Emergency) Transportation Mode,6,
c29_2_1,Hospitals (Emergency) Transportation Mode,8,
c29_2_1,Hospitals (Emergency) Transportation Mode,Sysmiss,
c29_2_2,Hospitals (Emergency) Distance (km),1,Cars
c29_2_2,Hospitals (Emergency) Distance (km),2,Minivan/Buses
c29_2_2,Hospitals (Emergency) Distance (km),3,Taxi
c29_2_2,Hospitals (Emergency) Distance (km),4,Train
c29_2_2,Hospitals (Emergency) Distance (km),5,Carts
c29_2_2,Hospitals (Emergency) Distance (km),6,Horse/donkey
c29_2_2,Hospitals (Emergency) Distance (km),7,Bicycle
c29_2_2,Hospitals (Emergency) Distance (km),8,Walking
c29_3_1,Pharmacy Transportation Mode,1,
c29_3_1,Pharmacy Transportation Mode,2,
c29_3_1,Pharmacy Transportation Mode,3,
c29_3_1,Pharmacy Transportation Mode,5,
c29_3_1,Pharmacy Transportation Mode,8,
c29_3_1,Pharmacy Transportation Mode,Sysmiss,
c29_3_2,Pharmacy Distance (km),1,Cars
c29_3_2,Pharmacy Distance (km),2,Minivan/Buses
c29_3_2,Pharmacy Distance (km),3,Taxi
c29_3_2,Pharmacy Distance (km),4,Train
c29_3_2,Pharmacy Distance (km),5,Carts
c29_3_2,Pharmacy Distance (km),6,Horse/donkey
c29_3_2,Pharmacy Distance (km),7,Bicycle
c29_3_2,Pharmacy Distance (km),8,Walking
c29_4_1,Village office Transportation Mode,1,Cars
c29_4_1,Village office Transportation Mode,2,Minivan/Buses
c29_4_1,Village office Transportation Mode,3,Taxi
c29_4_1,Village office Transportation Mode,4,Train
c29_4_1,Village office Transportation Mode,5,Carts
c29_4_1,Village office Transportation Mode,6,Horse/donkey
c29_4_1,Village office Transportation Mode,7,Bicycle
c29_4_1,Village office Transportation Mode,8,Walking
c29_4_1,Village office Transportation Mode,Sysmiss,
c29_5_1,Kindergarten Transportation Mode,1,Cars
c29_5_1,Kindergarten Transportation Mode,2,Minivan/Buses
c29_5_1,Kindergarten Transportation Mode,3,Taxi
c29_5_1,Kindergarten Transportation Mode,4,Train
c29_5_1,Kindergarten Transportation Mode,5,Carts
c29_5_1,Kindergarten Transportation Mode,6,Horse/donkey
c29_5_1,Kindergarten Transportation Mode,7,Bicycle
c29_5_1,Kindergarten Transportation Mode,8,Bicycle
c29_5_1,Kindergarten Transportation Mode,Sysmiss,
c29_6_1,Complete secondary school Transportation Mode,1,Cars
c29_6_1,Complete secondary school Transportation Mode,2,Minivan/Buses
c29_6_1,Complete secondary school Transportation Mode,3,Taxi
c29_6_1,Complete secondary school Transportation Mode,4,Train
c29_6_1,Complete secondary school Transportation Mode,5,Carts
