variable,variable_label
m3,"If family receives benefit, please specify for how many years you were entitled to?"
m5,Were you informed about the reasons for the termination/refusal of the benefits?
m6,Were the reasons for the termination/refusal of the benefits clear to household?
m7,Was it easy to collect the documentation necessary for the registration?
m8,Did you pay for documents and certificates you were asked to provide?
m9,Were  you satisfied with the work of the regional social inspector?
m10,Did  you  inform the SSM about changes in household taken place after the registration?
m11,Do you consider that the poverty benefit system is justified?
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?
m13,Did  you receive humanitarian assistance during the last 12 months?
m14_1_1,Did  you  receive  the food
m14_1_2,For how many times did  you receive the food
m14_2_1,Did  the household receive  the wearing
m14_2_2,For how many times  did  you receive  the  wearing
m14_3_1,Did  you  receive  the stationery
m14_3_2,For how many times  did  you receive  the  stationery
m14_4_1,Did  you  receive  the medications
m14_4_2,For how many times  did  you receive the medications
m14_5_1,Did  you  receive  the other
m14_5_2,For how many times  did  you receive other
m15_1_1,How much money does  your family   need monthly to live very well ?
m15_1_2,How much money does our family  need monthly to live very well ?
m15_2_1,drm  'In AMD'
m15_2_2,How much money does your family  need monthly to live  well ?
m15_3_1,drm  'In AMD'
m15_3_2,"How much money does your family  need monthly to ""make ends meat"" (survive)?"
m15_1_1drm,In AMD
m15_2_1drm,In AMD
m15_3_1drm,In AMD
p1,"How much  liquid gas did  the household  consume?  (excluding quantity purchased for cars, kg)"
p2,How much kerosene in liters did  the household  consume?(liter)
p3,"How much diesel oil did  the household  consume?  (excluding quantity purchased for cars, liter)"
p4,"How much coal did  the household  consume?, liter)"
p5_1,How much  firewood (in m3) did  the household  consume?
p5_2,From which stored up by household  (in m3)
p6,How much  pressed dung (in kg) did the household consume?
p7,How much  other energy carriers (in kg) did the household consume?
p8_1,Does  the household   have car(s)?
p8_2_1,"If yes, what kind of fuel does  the household  consume for  car? (Petrol,  liter)"
p8_2_2,"If yes, what kind of fuel does  the household consume for  car? (Diesel oil,  liter)"
p8_2_3,"If yes, what kind of fuel does  the household consume for  car? ( Compressed gas,  dram)"
z1,"Were you or any member of your household eligible to receive salary, pension or any social benefit, that you have not received during the month?"
n1,Did you hire workers for holding household during the last 12 months?
z2_1,Food which is usually consumed daily in little quantity-- salt
z2_2,Food which is usually consumed daily in little quantity---pepper
z2_3,Food which is usually consumed daily in little quantity---coffee
z2_4,Food which is usually consumed daily in little quantity---vinegar
z2_5,Food which is usually consumed daily in little quantity--spice
z2_6,Food which is usually consumed daily in little quantity---cocoa
z2_7,Food which is usually consumed daily in little quantity---mustard
z2_8,Food which is usually consumed daily in little quantity---tea
z2_9,Food which is usually consumed daily in little quantity---bouillon cubes
