"recno","date","day","x4_1","x4_2","x4_3","x4_4","x4_5","x4_3drm"
9,1,1,2785,1,520,1,1,520
9,1,2,3513,1,500,1,1,500
9,1,16,3501,2,400,1,1,400
9,1,2,3512,1,400,1,1,400
9,1,14,4161,,400,1,5,400
9,1,29,4481,,400,1,6,400
9,1,16,3512,3,360,1,1,360
9,1,2,3511,1,330,1,1,330
9,1,25,3511,1,320,1,1,320
9,1,16,2790,1,280,1,1,280
9,1,1,3502,1,180,1,1,180
9,1,25,3529,1,160,1,1,160
9,1,1,2810,1,110,1,1,110
10,1,11,4211,,21000,1,5,21000
10,1,11,4221,,3700,1,5,3700
10,1,25,2073,20,2800,1,1,2800
10,1,13,4613,,1100,1,5,1100
10,1,13,4151,,700,1,5,700
10,1,14,2790,1,350,1,1,350
10,1,14,3512,2,240,1,1,240
10,1,14,3501,2,200,1,1,200
10,1,17,4483,,200,1,6,200
10,1,21,4483,,200,1,6,200
11,1,4,4211,,19000,1,1,19000
11,1,13,2831,,5700,1,5,5700
11,1,23,2831,,4900,1,5,4900
11,1,13,4221,,4200,1,5,4200
11,1,21,4622,,3000,1,1,3000
11,1,13,4613,,1100,1,5,1100
11,1,17,2702,1,1000,1,1,1000
11,1,4,4151,,800,1,1,800
11,1,4,2785,1,450,1,1,450
11,1,19,4483,,400,1,6,400
11,1,17,3512,2,300,1,1,300
11,1,17,2790,1,200,1,1,200
11,1,17,2773,1,100,1,1,100
12,1,14,4221,,40000,1,5,40000
12,1,17,2071,30,8400,1,1,8400
12,1,14,4211,,9000,1,5,9000
12,1,13,4622,,3000,1,1,3000
12,1,20,4622,,3000,1,1,3000
12,1,6,2071,10,2800,1,1,2800
12,1,19,2831,,2200,1,5,2200
12,1,15,2785,1,2000,1,6,2000
12,1,14,4151,,2000,1,5,2000
12,1,15,2790,1,1400,1,1,1400
12,1,13,4613,,1100,1,5,1100
12,1,17,4483,,800,1,6,800
12,1,23,4483,,800,1,6,800
12,1,16,3512,5,600,1,1,600
12,1,3,4483,,600,1,6,600
12,1,20,4483,,600,1,6,600
12,1,15,2789,1,450,1,1,450
12,1,7,4483,,400,1,6,400
12,1,12,4483,,400,1,6,400
12,1,16,3512,1,200,1,1,200
13,1,21,3001,,60000,1,5,60000
13,1,22,2072,45,18000,1,1,18000
13,1,15,4623,,12000,1,5,12000
13,1,21,4221,,8000,1,5,8000
13,1,26,4211,,10000,1,5,10000
13,1,19,2785,1,6500,1,1,6500
13,1,14,4151,,3000,1,5,3000
13,1,17,3503,1,1700,1,1,1700
13,1,15,4613,,1100,1,5,1100
13,1,19,2789,5,750,1,1,750
13,1,17,2790,1,700,1,1,700
13,1,20,4483,,600,1,6,600
13,1,17,3505,1,400,1,1,400
13,1,24,4483,,400,1,6,400
14,1,11,4221,,2300,1,5,2300
14,1,11,4211,,1600,1,5,1600
14,1,11,4613,,1100,1,5,1100
14,1,13,2790,1,220,1,1,220
14,1,10,4483,,200,1,6,200
14,1,16,4483,,200,1,6,200
14,1,27,4483,,100,1,6,100
15,1,23,4211,,27000,1,5,27000
15,1,13,2831,,3500,1,5,3500
15,1,23,4221,,3500,1,5,3500
15,1,14,2785,1,2000,1,6,2000
15,1,14,2790,1,1700,1,1,1700
15,1,20,2831,,1500,1,5,1500
15,1,23,4613,,1100,1,5,1100
15,1,25,4483,,800,1,6,800
15,1,28,4483,,800,1,6,800
15,1,3,4483,,600,1,6,600
15,1,10,4483,,600,1,6,600
15,1,18,4483,,600,1,6,600
15,1,22,4483,,600,1,6,600
15,1,7,4483,,400,1,6,400
15,1,14,4483,,400,1,6,400
15,1,16,4483,,400,1,6,400
15,1,31,4483,,200,1,6,200
16,1,27,4211,,24000,1,5,24000
16,1,27,4221,,5600,1,5,5600
16,1,13,4622,,4000,1,5,4000
16,1,14,4151,,1700,1,5,1700
16,1,19,2831,,1200,1,5,1200
16,1,13,4613,,1100,1,5,1100
16,1,25,2808,1,800,1,3,800
16,1,17,2785,2,740,1,1,740
16,1,14,4161,,600,1,5,600
16,1,16,4483,,400,1,6,400
16,1,21,4483,,400,1,6,400
16,1,26,4483,,400,1,6,400
16,1,28,2790,1,350,1,1,350
16,1,28,2789,1,300,1,1,300
16,1,17,3512,3,240,1,1,240
16,1,28,3508,1,200,1,1,200
17,1,13,4211,,12000,1,5,12000
17,1,13,4221,,2500,1,5,2500
17,1,17,4613,,1100,1,5,1100
17,1,17,4614,,1000,1,5,1000
17,1,13,4151,,600,1,5,600
17,1,15,4483,,200,1,6,200
17,1,18,4483,,200,1,6,200
17,1,23,4483,,200,1,6,200
18,1,18,4403,,650000,1,5,650000
18,1,13,4221,,35000,1,5,35000
18,1,18,4911,,32000,1,5,32000
18,1,18,4912,,23000,1,5,23000
18,1,19,4622,,19000,1,5,19000
