"recno","memnum","a1_1","a1_2","a1_3","a1_4","age","a1_5","a1_6","a1_7","a1_8","a1_9","a2_1","a2_2","a2_3","a2_4","b1_1","b1_2","b1_3","b1_4","b1_5","b1_6","b1_7","b1_8","b1_9","z4","c25_1","c25_2","c25_3","c25_4","c25_5","c25_6","c25_7","c25_8","c25_9","c25_10","e1_2","e1_3","e1_4","e1_5","e1_6","e1_7","e2_2","e2_3","e2_4","e2_5","e2_6","e2_7","e2_8","e2_9","e2_10","e2_11","e2_12","e2_13","e2_14","e2_15","e2_16","e2_17","e2_18","e2_19","e2_20","e2_20drm","c25_11","e2_21","e2_22","e2_22drm","e2_23","e2_24","e2_24drm","e2_25","e2_26","e2_26drm","e2_27","e2_28","e2_28drm","e2_29","e2_30","e2_30drm","e2_31","e2_32","e2_33","e2_34","e2_35","e2_35drm","e2_36","e2_37","e2_38","e3_2","e3_3","e3_4","e3_5","e3_6","e3_7","e3_8","e3_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i1_11","i1_12","i1_13","i1_14","i1_15","i1_16","i1_17","i1_18","i1_19","i1_20","i1_21","i1_22","i1_23","i1_24","i1_25","i1_26","i1_27","i1_28","i1_29","i1_30","i1_31","i1_32","i1_33","i1_34","i1_35","i1_36","i1_37","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i2_11","i2_12","i2_13","i2_14","k1_1","k1_2","k1_3","k1_4","k1_5","k1_6","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","date"
2640,1,1,1,11,1964,50,1,3,,,7,,,,,4,12,,12,2013,2,1,49,1,,1,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,4,5,4,8,4,1,,,49,1,,4,3,1,3,112,2,,,,,,,,,,,7
2640,2,2,2,9,1972,42,1,3,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,1,3,4,2,,0,0,4000,4000,1,1,1,2,,1,35000,1,,1,2,,2,9,10000,0,0,13000,0,3000,26000,2,2,2,,,,,,,,,,,,,,3,4,5,4,8,4,2,2,,,,,,,,,,,2,1,4,5,3,6,,,2,2,7
2640,3,2,3,2,1991,24,2,3,,,8,,,,,5,,,,,,,,,,1,,,,,,,,,1,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,4,5,4,8,4,1,,,47,1,,4,3,1,3,60,2,,,,,,,,,,,7
2640,4,2,3,7,1992,23,2,3,,,5,,,,,5,,,,,,,,,,1,,,,,,,,,1,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,1,5,5,2,,0,0,0,0,2,2,2,2,,1,10000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,4,5,4,8,4,2,1,2,47,1,,4,3,1,3,0,2,,,,,,,,,,,7
2641,1,1,1,6,1954,61,1,8,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,,,4,8,4,1,,,49,1,,4,3,1,3,98,2,,,,,,,,,,,7
2641,2,2,2,3,1957,58,1,8,,,7,,,,,3,12,,9,2014,2,2,,4,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,1,1,5,2,,0,0,0,0,2,2,2,2,,1,50000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,,,4,8,4,2,2,,,,,,,,,,,4,1,7,3,1,,7,3,1,,7
2641,3,2,3,10,1988,26,2,8,,,8,,,,,3,12,,9,2014,5,2,,4,,1,,1,,1,,,,,1,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,1,1,5,2,,0,0,0,0,2,2,2,2,,1,40000,1,1,,1,255,2,8,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,5,,,4,8,4,1,,,90,1,,1,,1,2,30,2,,,,,,,,,,,7
2642,1,1,1,3,1938,77,3,8,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,2,1,750,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,,,4,8,4,,,,,,,,,,,,,,,,,,,,,,,7
2643,1,2,1,1,1940,75,3,8,,,5,3,8,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,1,1,5,2,,0,0,0,0,1,1,2,1,,1,7700,1,1,,1,9,2,3,0,0,0,0,0,0,10000,1,1,2,,,,,,,,,,,,,,5,,,4,6,2,2,2,,,,,,,,,,,3,1,3,5,3,13,,,,,7
2644,1,1,1,6,1968,47,1,1,,,8,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,3,5,4,4,2,2,2,,,,,,,,,,,4,1,1,2,1,,4,2,1,,7
2644,2,2,2,7,1967,48,1,8,,,8,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,2,1,1200,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,3,5,4,4,2,1,,,96,1,,4,3,4,2,9,2,,,,,,,,,,,7
2645,1,1,1,12,1971,43,1,3,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,3,2,,2,,,,,,,,,,,,,5,1,10000,1,,5,2,,2,4,6000,,0,6000,0,0,300000,1,2,2,,,,,,,,,,,,,,3,5,,4,4,4,1,,,41,1,,4,3,3,1,56,2,,,,,,,,,,,7
2645,2,2,2,4,1977,38,1,1,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,4,4,4,2,2,,,,,,,,,,,2,1,1,3,1,,2,3,1,,7
2645,3,2,3,12,1995,19,2,1,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,4,1,2,5,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,4,4,4,2,2,,,,,,,,,,,4,2,,,1,,6,2,1,,7
2645,4,1,3,6,1997,18,2,1,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,1,2,5,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,4,4,4,2,2,,,,,,,,,,,4,2,,,1,,6,1,1,,7
2646,1,1,1,3,1960,55,1,8,2,2,5,,,,,1,12,,3,2015,1,1,49,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2646,2,2,2,7,1963,52,1,8,,,5,2,8,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,4,2,,1,2,4,2,,0,0,0,0,1,1,1,2,,1,10350,1,,10,2,,2,3,,,0,0,0,0,0,1,3,2,,,,,,,,,,,,,,3,5,,4,6,2,2,2,,,,,,,,,,,2,1,4,5,3,6,,,2,2,7
2646,3,1,3,9,1989,25,2,1,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,4,6,2,1,,,31,1,,4,3,1,3,60,2,,,,,,,,,,,7
2646,4,1,3,8,1992,22,2,1,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,4,6,2,1,,,31,1,,4,3,1,3,60,2,,,,,,,,,,,7
2647,1,1,1,8,1962,52,1,1,,,5,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,41,1,,4,3,1,3,60,2,,,,,,,,,,,7
2647,2,2,2,6,1966,49,1,1,,,5,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,3,4,2,2,2,,,,,,,,,,,2,1,1,5,3,7,,,1,,7
2647,3,1,3,10,2000,14,,1,,,3,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,2,4,1,1,2,1,,1,2,0,2,,2,,,,,,,,,,10000,10000,1,25000,25000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2647,4,2,3,8,1988,26,2,1,,,5,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,96,5,3,4,3,1,2,30,2,,,,,,,,,,,7
2647,5,1,5,3,2005,10,,1,,,3,18,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,1,,1,2,0,2,,2,,,,,,,,,,8000,8000,1,20000,20000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2648,1,1,1,6,1963,52,1,1,,,7,,,,,5,,,,,,,,,5,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,4,1,1,3,1,,3,3,1,,7
2648,2,2,2,7,1963,52,1,1,,,8,,,,,5,,,,,,,,,5,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,3,4,1,1,,,90,1,,1,,1,1,40,2,,,,,,,,,,,7
2648,3,1,3,10,1991,23,2,1,,,5,,,,,5,,,,,,,,,5,1,,1,,,,,,,,,,,,,,6,4,1,2,6,1,,2,6,0,2,,2,,,,,,,,,,10000,10000,1,20000,20000,1,720000,720000,1,,,,2000,2000,1,6,,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,1,2,,,1,,3,2,1,,7
2648,4,1,3,11,1987,27,1,1,,,8,,,,,5,,,,,,,,,5,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,84,1,,1,,1,1,50,2,,,,,,,,,,,7
2648,5,2,4,12,1987,27,1,1,,,8,,,,,5,,,,,,,,,5,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,2,1,5,85,1,,1,,1,1,0,2,,,,,,,,,,,7
2648,6,1,5,3,2013,2,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,1,2,,,,,,,1,0,2,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2649,1,1,1,10,1964,50,1,1,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,33,1,,4,3,1,2,40,2,,,,,,,,,,,7
2649,2,2,2,3,1970,45,1,1,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,,,2,9,1,2,2,,,,,,,,,,,2,1,1,5,1,,7,5,1,,7
2649,3,2,3,6,1990,25,1,1,,,8,21,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,1,1,3,2,,0,0,0,,2,2,1,1,,1,12000,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,47,5,1,4,3,1,3,10,2,,,,,,,,,,,7
2649,4,1,4,11,1983,31,1,6,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,47,6,3,4,3,1,3,10,2,,,,,,,,,,,7
2649,5,2,3,8,1993,21,2,1,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,56,1,,4,3,1,3,10,2,,,,,,,,,,,7
2650,1,1,1,5,1953,62,1,1,,,7,3,12,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,1,4,5,2,,0,0,0,,1,2,2,2,,1,12000,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,49,1,,4,3,1,1,48,2,,,,,,,,,,,7
2650,2,2,2,10,1953,61,1,1,,,7,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,5,6,,4,6,2,1,,,85,1,,1,,1,1,42,2,,,,,,,,,,,7
2651,1,1,1,7,1971,44,1,5,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,6,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,5,2,1,,,33,1,,4,3,1,2,40,2,,,,,,,,,,,7
2651,2,2,2,7,1971,44,1,1,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,7,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,9,2,1,,,85,1,,1,,1,1,36,1,,,,,,,,,,,7
2651,3,2,3,4,2012,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,2,,,,,,,1,0,1,13,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2652,1,1,1,8,1958,56,1,1,,,5,3,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,1,1,4,2,,0,0,0,,1,1,1,1,,1,25000,1,1,,1,4,2,4,200000,100000,0,0,0,0,300000,1,1,2,,,,,,,,,,,,,,2,5,,5,9,4,1,,,20,1,,4,3,1,1,48,2,,,,,,,,,,,7
2652,2,2,2,11,1966,48,1,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,5,9,4,1,,,20,1,,4,3,1,1,48,2,,,,,,,,,,,7
2652,3,1,3,6,1987,28,2,1,,,5,,,,,5,,,,,,,,,,,1,,,,,1,,,,,,,,,,3,2,1,1,3,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,53,1,,4,3,1,1,48,2,,,,,,,,,,,7
2653,1,1,1,9,1966,48,1,1,,,6,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,4,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,1,1500,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,14,5,1,4,2,1,1,60,2,,,,,,,,,,,7
2653,2,2,2,10,1972,42,1,1,,,7,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,4,5,4,4,5,1,,,14,5,1,4,3,1,2,30,2,,,,,,,,,,,7
2653,3,1,3,1,1992,23,2,1,,,5,,,,,4,16,,6,2012,5,2,,4,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,4,3,1,1,,,80,1,,1,,1,1,48,2,,,,,,,,,,,7
2653,4,1,3,10,1997,17,2,1,,,6,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,3,1,1,4,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,14,6,3,4,3,1,2,30,2,,,,,,,,,,,7
2653,5,1,6,4,1941,74,3,1,,,5,5,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,1,3000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,3,1,1,5,3,13,,,,,7
2654,1,1,1,12,1946,68,1,3,,,6,5,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,4,6,4,1,,,12,1,,4,3,1,1,48,2,,,,,,,,,,,7
2654,2,2,2,4,1957,58,1,3,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,2,,,,,,,,,,,,,1,1,15000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,4,6,4,2,2,,,,,,,,,,,4,1,1,5,1,,6,5,1,,7
2655,4,2,4,4,1994,21,1,3,2,3,5,21,,,,1,8,1,1,2014,2,2,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2655,3,1,3,5,1978,37,1,3,2,2,8,,,,,1,8,1,1,2014,1,1,86,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2655,1,1,1,10,1947,67,1,3,,,8,5,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,1,2,4,2,,0,0,0,,1,1,1,1,,1,10000,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,3,5,,4,9,5,1,,,72,1,,4,3,1,1,48,2,,,,,,,,,,,7
2655,2,2,2,7,1958,57,1,2,,,8,,,,,3,13,,9,2014,5,2,,4,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,1,3,3,2,,0,0,0,,2,2,1,1,,1,4000,1,1,,1,10,2,5,,,,0,0,35000,35000,1,1,2,,,,,,,,,,,,,,3,5,,4,4,5,2,2,,,,,,,,,,,4,1,1,5,3,9,,,1,,7
2655,5,1,3,12,1989,25,2,3,,,8,,,,,3,13,,9,2014,5,2,,4,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,,4,270000,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,90,1,,4,3,4,3,60,2,,,,,,,,,,,7
2656,1,1,1,12,1948,66,1,3,,,8,5,,,,5,,,,,,,,,7,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,1,1,1,1,4,2,1,,,0,0,0,0,,2,1,1,,,,,,,,,,,,,,2,3,5,4,6,4,1,,,84,1,,1,,1,1,40,2,,,,,,,,,,,7
2656,2,2,2,4,1959,56,1,1,,,7,,,,,5,,,,,,,,,7,1,,1,,,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,5,4,6,4,2,2,,,,,,,,,,,2,1,1,5,1,,7,4,1,,7
2656,3,1,3,11,1982,32,1,1,,,8,,,,,5,,,,,,,,,7,1,,1,,,,,,,1,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,7,4,5,4,1,,,64,1,,4,3,1,1,40,2,,,,,,,,,,,7
2656,4,2,4,12,1987,27,1,1,,,8,,,,,5,,,,,,,,,10,1,,1,,,,,,,1,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,7,4,5,4,2,1,5,64,1,,4,3,1,1,0,2,,,,,,,,,,,7
