"recno","y1_1","y1_2","y1_3","y1_3drm","y1_4","y1_5"
132,2,3,36700,36700,1,3
133,1,3,37600,37600,1,3
133,2,13,100000,100000,1,3
134,1,13,100000,100000,1,3
135,1,3,41500,41500,1,3
135,2,3,35600,35600,1,3
135,3,13,90000,90000,1,3
136,1,3,34800,34800,1,3
136,1,18,15000,15000,1,3
137,1,13,120000,120000,1,3
138,1,13,15000,5000,1,7
138,2,1,130000,130000,1,3
139,1,1,96000,32000,1,7
139,2,13,50000,16666.6666666667,1,7
140,1,1,110000,110000,1,3
140,2,1,68000,68000,1,3
141,1,13,88000,88000,1,3
142,1,1,70000,70000,1,3
143,1,19,7000,51870,2,3
144,1,1,160000,160000,1,3
144,2,1,100000,100000,1,3
145,1,22,30000,10000,1,7
146,1,2,10000,10000,1,3
146,3,2,100000,100000,1,3
146,5,2,80000,80000,1,3
147,1,3,31000,31000,1,3
147,2,1,247000,247000,1,3
147,2,3,30000,30000,1,3
147,4,1,890000,890000,1,3
148,3,1,140000,140000,1,3
149,2,1,35000,35000,1,3
149,2,22,40000,13333.3333333333,1,7
150,1,13,42000,42000,1,3
150,4,12,5000,5000,1,3
150,5,3,16000,16000,1,3
151,1,3,38000,38000,1,3
151,3,19,30000,222300,2,3
152,1,3,92000,92000,1,3
153,1,2,25000,25000,1,3
153,3,2,10000,3333.33333333333,1,7
153,3,22,20000,6666.66666666667,1,7
154,1,22,30000,74100,2,7
154,3,1,50000,50000,1,3
155,1,1,320000,320000,1,3
155,2,1,220000,220000,1,3
156,1,22,50000,123500,2,7
157,1,1,50000,50000,1,3
157,3,1,100000,33333.3333333333,1,7
157,4,1,100000,100000,1,3
158,2,3,36000,36000,1,3
158,3,1,50000,16666.6666666667,1,7
159,1,2,70000,70000,1,3
159,3,12,5000,5000,1,3
160,1,1,70000,70000,1,3
160,1,19,5000,37050,2,3
161,1,1,120000,120000,1,3
161,2,1,80000,80000,1,3
162,1,1,200000,200000,1,3
162,1,3,45000,45000,1,3
162,2,3,32000,32000,1,3
162,3,1,80000,80000,1,3
163,1,3,65000,65000,1,3
163,2,2,120000,120000,1,3
163,3,1,50000,50000,1,3
164,1,1,370000,370000,1,3
164,3,1,300000,300000,1,3
165,1,1,85000,85000,1,3
166,1,1,150000,150000,1,3
167,2,22,125000,31250,1,6
168,2,19,4000,9880,2,7
168,3,2,120000,120000,1,3
169,1,2,80000,80000,1,3
170,3,2,115000,115000,1,3
171,1,1,120000,120000,1,3
172,1,13,150000,150000,1,3
172,2,1,130000,130000,1,3
173,1,13,300000,300000,1,3
173,3,1,230000,230000,1,3
174,1,13,150000,150000,1,3
174,2,1,120000,120000,1,3
175,2,1,215000,215000,1,3
175,2,19,10000,24700,2,7
175,3,3,16000,16000,1,3
176,1,1,280000,280000,1,3
176,1,13,210000,210000,1,3
177,1,13,120000,120000,1,3
177,2,1,120000,120000,1,3
