"recno","date","day","x5_1","x5_2","x5_3","x5_4"
2144,5,23,4221,,2340,5
2145,5,17,4211,,2400,5
2145,5,17,4221,,2340,5
2147,5,12,4211,,2400,5
2147,5,12,4221,,2340,5
2148,5,13,4211,,2400,5
2148,5,13,4221,,2340,5
2149,5,17,4221,,2340,5
2149,5,17,4211,,2400,5
2150,5,16,4211,,2400,5
2150,5,16,4221,,2340,5
2151,5,17,4211,,2340,5
2151,5,17,4221,,2400,5
2153,5,22,3523,2,3000,3
2153,5,22,2155,2,8000,1
2153,5,22,3341,3,18000,1
2159,5,24,2676,6,7000,1
2159,5,24,3341,1,5000,1
2159,5,24,2190,3,16000,1
2159,5,24,2179,1,9500,1
2192,6,25,2831,3,3000,5
2193,6,2,4623,,6000,3
2193,6,2,2072,60,35000,3
2199,6,1,2831,,3000,1
2199,6,26,3503,1,1000,1
2199,6,30,2790,1,500,5
2206,6,6,2531,1,1000,1
2206,6,7,2533,5,1000,1
2206,6,7,2785,2,2000,1
2206,6,7,2790,1,1000,1
2206,6,7,2714,1,2000,1
2206,6,7,2680,1,3000,1
2211,6,1,2831,,40000,1
2211,6,1,2824,,10000,5
2212,6,12,2831,,3000,5
2212,6,12,2824,,2000,5
2220,6,13,3506,1,1000,1
2220,6,13,3514,1,2000,1
2220,6,13,3514,1,2500,1
2220,6,13,3503,1,3000,1
2236,6,13,4571,,25000,2
2241,6,19,4731,,7000,3
2246,6,11,2831,,2000,2
2253,6,25,4211,,2000,1
2253,6,25,4613,,1100,1
2253,6,25,4161,,1500,1
2253,6,25,4151,,3000,1
2290,6,11,2252,2,4000,1
2314,6,28,2824,,2000,1
2315,6,8,2214,1,1500,1
2315,6,8,2236,1,2500,1
2320,6,3,2133,4,400,1
2320,6,3,3501,1,150,1
2324,6,5,2238,14,5000,1
2324,6,5,2155,3,21000,1
2347,6,29,2831,,4000,5
2349,6,12,2252,1,1500,1
2559,6,5,2153,1,16000,1
2559,6,12,3527,2,1600,3
2559,6,19,3577,1,1500,1
2566,6,19,4211,,2520,5
2567,6,17,4221,,2340,5
2567,6,17,4211,,2520,5
2568,6,17,4211,,2520,5
2568,6,17,4221,,2340,5
2569,6,21,4211,,2520,5
2569,6,21,4221,,2340,5
2570,6,17,4211,,2520,5
2570,6,17,4221,,2340,5
2571,6,17,4211,,2340,5
2572,6,17,4211,,2520,5
2572,6,17,4221,,2340,5
2573,6,7,4211,,2520,5
2573,6,7,4221,,2340,5
2574,6,6,4622,1,1000,1
2574,6,15,4211,,2520,5
2574,6,15,4221,,2340,5
2575,6,25,4211,,2300,5
2575,6,25,4221,,2700,5
2577,6,29,4211,,4500,5
2578,6,29,4211,,2000,5
2578,6,29,4221,,1800,5
2579,6,30,4211,,5000,5
2579,6,30,4221,,2500,5
2580,6,7,4211,,2500,5
2580,6,7,4221,,2700,5
2581,6,11,4211,,500,5
2582,6,17,4211,,2000,5
2582,6,17,4221,,1800,5
2583,6,26,4211,,3900,5
2583,6,26,4221,,2900,5
2588,6,10,4632,,7000,3
2588,6,15,4491,,400,1
2588,6,17,2526,1,2800,1
2588,6,20,4491,,400,1
2588,6,22,4491,,400,1
2588,6,30,4491,,400,1
2626,7,22,4211,,1300,1
2630,7,18,2831,,3000,5
2643,7,16,2826,,1600,1
2657,7,8,3341,2,15000,5
2666,7,4,4622,,2000,1
2666,7,5,2831,,60000,1
2671,7,5,2831,,30000,1
2672,7,10,2785,5,5000,1
2675,7,17,2831,,5600,5
2677,7,20,2831,,4800,5
2678,7,16,2831,,3000,5
2679,7,15,2831,,30000,1
2679,7,17,2151,4,38000,1
2691,7,26,4211,,3000,1
2724,7,12,2138,1,3000,1
2725,7,25,2158,1,3000,1
2743,7,13,2831,,5200,5
2750,7,3,2261,1,3000,1
2750,7,3,2171,1,6000,1
2777,7,26,3282,1,1200,1
2785,7,16,2155,1,6000,1
2787,7,20,2158,1,2500,3
2865,7,1,2157,2,1400,1
2865,7,1,2155,1,4000,1
2916,7,9,2160,1,2500,1
2984,7,29,3521,1,1000,1
2984,7,29,2154,1,4000,1
3001,7,19,2677,6,4000,1
3001,7,19,3544,1,8000,1
3011,7,10,4491,1,1000,3
3011,7,25,4491,1,1000,3
3011,7,25,2236,1,2500,1
3011,7,25,2160,1,4000,1
3017,7,5,4211,,4500,5
3017,7,5,4221,,3500,5
3018,7,23,4211,,2000,5
3019,7,4,4211,,4000,5
3019,7,4,4221,,5000,5
3019,7,18,3527,2,700,1
3019,7,18,3521,1,3500,1
3021,7,6,4211,,300,5
3021,7,6,4221,,500,5
3022,7,4,4211,,2500,5
3022,7,4,4221,,4200,5
3024,7,23,4211,,3000,5
3024,7,23,4221,,1500,5
3061,8,17,4221,,1600,1
3061,8,17,4151,,600,1
3061,8,17,4613,,1100,1
3061,8,17,4211,,2500,1
3068,8,10,2790,2,2000,1
3068,8,10,2786,4,4000,1
3068,8,10,2786,6,7000,1
3068,8,12,2233,2,8000,1
3068,8,12,2180,6,30000,1
3068,8,12,2127,2,20000,1
3068,8,30,2134,8,10000,1
3068,8,30,2127,6,36000,1
3068,8,30,2270,1,6000,1
3070,8,1,2831,,5000,5
3082,8,12,4623,,5000,1
3084,8,17,3514,1,1200,1
3101,8,29,2711,1,14500,1
3104,8,16,4511,,90000,1
3113,8,24,2190,1,4000,1
3113,8,24,2180,1,8000,1
3115,8,13,4211,,8000,1
3115,8,13,4151,,1800,1
3115,8,13,4221,,1700,1
3115,8,13,4613,,1100,1
3115,8,13,4614,,200,1
3116,8,30,2193,2,3000,1
3116,8,30,3555,2,9000,1
3119,8,2,2789,1,1200,1
3119,8,3,3501,1,240,1
3119,8,3,2784,1,540,1
3119,8,3,2787,1,1200,1
3119,8,12,3501,1,250,1
3119,8,12,2784,1,650,1
3122,8,7,4484,,10000,1
3122,8,20,4484,,3000,1
3153,8,20,2160,1,3500,1
3168,8,15,2159,2,5000,1
3170,8,20,4622,,10000,1
3208,8,23,2190,1,4200,1
3208,8,23,2184,1,5000,1
3277,8,23,2674,6,1800,3
3277,8,30,3526,1,800,3
3277,8,30,3522,1,2000,3
3282,8,19,2132,1,12000,1
3288,8,18,2192,2,500,1
3288,8,18,3555,1,3500,1
3288,8,24,2196,1,1200,1
3288,8,24,2190,1,3000,1
3291,8,26,4991,,700,3
3326,8,24,2824,,8000,5
3415,8,14,3290,1,1500,1
3430,8,13,4211,,1350,5
3430,8,13,4221,,1000,5
3431,8,27,4211,,3000,5
3431,8,27,4221,,1500,5
3432,8,30,4211,,1600,5
3432,8,30,4221,,2000,5
3433,8,23,4221,,2000,5
3433,8,24,4211,,1900,5
3433,8,24,4221,,1000,5
3434,8,25,4211,,3500,5
3434,8,25,4221,,3000,5
3435,8,25,4211,,400,5
3435,8,25,4221,,450,5
3437,8,14,4211,,3000,5
3437,8,14,4221,,3500,5
3438,8,15,4211,,3000,5
3438,8,15,4221,,5000,5
3453,8,1,2189,1,10000,3
3489,9,9,5011,,2000,3
3495,9,13,3501,2,400,1
3495,9,13,2790,1,250,1
3495,9,13,2786,1,350,1
3499,9,1,2786,1,300,1
3499,9,3,3501,1,100,1
3499,9,10,2786,1,300,1
3499,9,13,2786,1,300,1
3499,9,16,2782,1,100,1
3505,9,1,2824,,6000,5
3515,9,15,3503,1,2500,1
3519,9,13,3506,1,1200,1
3532,9,1,3455,20,700,1
3532,9,1,3461,4,400,1
3532,9,1,3470,2,200,1
3532,9,1,3476,2,1000,1
3532,9,1,3462,2,1400,1
3532,9,2,3455,6,1500,1
3532,9,2,3455,6,1800,1
3532,9,23,4622,,1000,1
3533,9,6,3505,2,1100,1
3539,9,14,4622,,2000,1
3539,9,19,4622,,2000,1
3542,9,17,2790,1,720,1
3542,9,17,2785,1,900,1
3542,9,17,3503,1,1100,1
3542,9,24,3512,10,800,1
3542,9,24,3501,3,480,1
3542,9,24,2785,1,2100,1
3544,9,16,3501,1,200,1
3544,9,16,2785,1,450,1
3544,9,16,3503,1,600,1
3544,9,20,3512,1,400,1
3544,9,26,4211,,2000,1
3544,9,26,4151,,400,1
3544,9,26,4221,,1000,1
3585,9,10,2159,1,3000,1
3588,9,6,4622,,2000,1
3598,9,4,2159,1,3000,1
3643,9,6,3512,2,200,1
3643,9,6,2790,1,200,1
3643,9,6,2252,1,1000,1
3643,9,11,2824,,6000,1
3643,9,11,2252,1,1000,1
3643,9,11,2160,1,3500,1
3643,9,22,4221,,2000,1
3643,9,22,4211,,2400,1
3643,9,22,4151,,500,1
3643,9,25,3501,1,150,1
3643,9,25,2785,1,450,1
3761,9,22,2831,,5000,5
3808,9,17,2252,1,3500,3
3808,9,17,2674,1,7500,1
3808,9,17,2531,1,8500,3
3808,9,17,2155,1,9000,1
3808,9,17,3522,1,15000,1
3841,9,5,2158,1,1200,3
3841,9,8,2677,6,2400,1
3841,9,12,2634,1,9000,1
3843,9,3,2269,1,2800,1
3843,9,11,2203,1,1200,3
3855,9,12,2931,1,21000,1
3863,9,24,2189,2,6000,1
3863,9,24,2179,1,3000,1
3865,9,6,3571,1,1500,3
3879,9,17,4622,1,1000,1
3916,10,1,4211,,1000,1
3916,10,1,4613,,1100,1
3916,10,1,4151,,300,1
3916,10,2,4221,,1000,1
3916,10,2,4622,,1000,1
3916,10,2,4161,,400,1
3923,10,1,2831,,5000,5
3923,10,1,4211,,2000,1
3931,10,30,2786,2,1000,1
3931,10,30,2790,1,550,1
3948,10,20,3501,2,500,1
3948,10,20,3503,1,1100,1
3951,10,22,3398,2,3000,3
3951,10,22,2773,1,3000,1
3951,10,22,2132,1,7000,1
3966,10,21,3501,5,600,1
3966,10,21,3512,4,600,1
3966,10,21,3512,4,720,1
3966,10,21,2810,2,600,1
3966,10,21,2790,1,690,1
3987,10,26,4211,,6300,1
3987,10,26,4151,,1300,1
3987,10,26,4221,,1500,1
3987,10,26,4613,,1100,1
3987,10,27,4161,,200,1
3987,10,27,4071,,630,1
4016,10,26,2236,1,2000,1
4016,10,26,2159,1,7000,1
4023,10,30,4211,,3800,1
4023,10,30,4221,,3200,1
4023,10,30,4613,,1100,1
4023,10,30,4632,,5000,1
4031,10,3,3522,1,5000,1
4042,10,29,2252,1,2000,1
4046,10,10,2214,1,800,1
4046,10,10,2252,1,1600,1
4053,10,1,3512,2,300,1
4053,10,1,3501,1,250,1
4053,10,1,3506,2,600,1
4053,10,1,2790,1,500,1
4053,10,1,2784,2,1200,1
4053,10,2,2810,2,200,1
4053,10,2,2810,1,200,1
4147,10,1,2672,6,10000,1
4187,10,21,2831,,2000,5
4295,10,7,4482,,200,3
