"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
1518,11,30,10,5000,,,2,,,3,4500,,,,
1518,12,20,,,,,,,,,,,,,
1519,1,8,,,4,800000,,,,,,2,,,
1519,2,4,,,,,,,,,,,,,
1519,4,4,,,4,800000,,,,,,2,,,
1519,9,10,,,6,180000,2,,,20,60000,2,,,
1519,11,30,10,5000,,,4,,,6,9000,,,,
1519,12,20,,,,,,,,,,,,,
1520,1,2,,,1,160000,,,,,,2,,,
1520,2,1,,,,,,,,,,,,,
1520,4,1,,,1,160000,,,,,,2,,,
1520,11,30,10,6000,,,,,,,,,,,
1520,12,20,,,,,,,,,,,,,
1521,1,4,,,2,280000,,,,,,2,,,
1521,2,2,,,,,,,,,,,,,
1521,4,2,,,2,280000,,,,,,2,,,
1521,9,10,,,8,280000,2,,,20,60000,2,,,
1521,11,30,10,6000,,,2,,,3,5000,,,,
1521,12,20,,,,,,,,,,,,,
1522,1,2,,,,,,,,,,,,,
1522,2,1,,,,,,,,,,,,,
1522,4,1,,,,,,,,,,,,,
1522,11,7,,,,,1,,,1.5,2300,,,,
1522,12,7,,,,,1,,,1.5,2300,,,,
1524,1,4,,,2,180000,,,,,,2,,,
1524,2,2,,,,,,,,,,,,,
1524,4,2,,,2,180000,,,,,,2,,,
1524,11,10,10,20000,,,1,,,2,4000,,,,
1524,12,10,10,20000,,,1,,,2,4000,,,,
1525,1,4,,,1,100000,,,,,,2,,,
1525,2,2,,,,,,,,,,,,,
1525,4,2,,,1,100000,,,,,,2,,,
1525,11,10,5,10000,,,1,,,1.5,2250,,,,
1525,12,10,5,10000,,,1,,,1.5,2250,,,,
1526,1,6,,,1,100000,,,,,,2,,,
1526,2,3,,,,,,,,,,,,,
1526,4,3,,,1,100000,,,,,,2,,,
1526,9,5,,,,,1,,,20,50000,,,,
1526,11,5,5,10000,,,,,,,,,,,
1526,12,5,5,10000,,,,,,,,,,,
1527,1,4,,,1,120000,,,,,,2,,,
1527,2,2,,,,,,,,,,,,,
1527,4,2,,,1,120000,,,,,,2,,,
1527,11,10,10,20000,,,2,,,3,4500,,,,
1527,12,10,10,20000,,,2,,,3,4500,,,,
1527,19,60,,,,,,,,,,,,,
1529,1,2,,,,,,,,,,,,,
1529,2,1,,,,,,,,,,,,,
1529,4,1,,,,,,,,,,,,,
1529,11,5,5,10000,,,,,,,,,,,
