"recno","weight"
749,185.768518518519
750,185.768518518519
751,185.768518518519
752,185.768518518519
753,185.768518518519
754,185.768518518519
755,185.768518518519
756,185.768518518519
757,126.657407407407
758,126.657407407407
759,126.657407407407
760,126.657407407407
761,126.657407407407
762,126.657407407407
763,126.657407407407
764,126.657407407407
765,126.657407407407
766,185.768518518519
767,185.768518518519
768,185.768518518519
769,185.768518518519
770,185.768518518519
771,185.768518518519
772,185.768518518519
773,185.768518518519
774,185.768518518519
775,126.657407407407
776,126.657407407407
777,126.657407407407
778,126.657407407407
779,126.657407407407
780,126.657407407407
781,126.657407407407
782,126.657407407407
783,126.657407407407
784,117.453703703704
785,117.453703703704
786,117.453703703704
787,117.453703703704
788,117.453703703704
789,117.453703703704
790,117.453703703704
791,117.453703703704
792,117.453703703704
793,117.314814814815
794,117.314814814815
795,117.314814814815
796,117.314814814815
797,117.314814814815
798,117.314814814815
799,117.314814814815
800,117.314814814815
801,117.314814814815
802,117.453703703704
803,117.453703703704
804,117.453703703704
805,117.453703703704
806,117.453703703704
807,117.453703703704
808,117.453703703704
809,117.453703703704
810,117.453703703704
811,51.4351851851852
812,51.4351851851852
813,51.4351851851852
814,51.4351851851852
815,51.4351851851852
816,51.4351851851852
817,51.4351851851852
818,51.4351851851852
819,51.4351851851852
820,40.7453703703704
821,40.7453703703704
822,40.7453703703704
823,40.7453703703704
824,40.7453703703704
825,40.7453703703704
826,40.7453703703704
827,40.7453703703704
828,40.7453703703704
829,40.7453703703704
830,40.7453703703704
831,40.7453703703704
832,40.7453703703704
833,40.7453703703704
834,40.7453703703704
835,40.7453703703704
836,40.7453703703704
837,40.7453703703704
838,99.7962962962963
839,99.7962962962963
840,99.7962962962963
841,99.7962962962963
842,99.7962962962963
843,99.7962962962963
844,99.7962962962963
845,99.7962962962963
846,99.7962962962963
847,99.7962962962963
848,99.7962962962963
849,99.7962962962963
850,99.7962962962963
851,99.7962962962963
852,99.7962962962963
853,99.7962962962963
854,99.7962962962963
855,99.7962962962963
856,138.212962962963
857,138.212962962963
858,138.212962962963
859,138.212962962963
860,138.212962962963
861,138.212962962963
862,138.212962962963
863,138.212962962963
864,138.212962962963
865,21.4814814814815
866,21.4814814814815
867,21.4814814814815
868,21.4814814814815
869,21.4814814814815
870,21.4814814814815
871,21.4814814814815
872,21.4814814814815
873,21.4814814814815
874,247.472222222222
875,247.472222222222
876,247.472222222222
877,247.472222222222
878,247.472222222222
879,247.472222222222
880,247.472222222222
881,247.472222222222
882,247.472222222222
883,164.703703703704
884,164.703703703704
885,164.703703703704
886,164.703703703704
887,164.703703703704
888,164.703703703704
889,164.703703703704
890,164.703703703704
891,164.703703703704
892,24.0277777777778
893,24.0277777777778
894,24.0277777777778
895,24.0277777777778
896,24.0277777777778
897,24.0277777777778
898,24.0277777777778
899,24.0277777777778
900,24.0277777777778
901,326.87962962963
902,326.87962962963
903,326.87962962963
904,326.87962962963
905,326.87962962963
906,326.87962962963
907,326.87962962963
908,326.87962962963
909,326.87962962963
910,92.6574074074074
911,92.6574074074074
912,92.6574074074074
913,92.6574074074074
914,92.6574074074074
915,92.6574074074074
916,92.6574074074074
917,92.6574074074074
918,92.6574074074074
919,294.296296296296
920,294.296296296296
921,294.296296296296
922,294.296296296296
923,294.296296296296
924,294.296296296296
925,294.296296296296
926,294.296296296296
927,294.296296296296
928,164.703703703704
929,164.703703703704
930,164.703703703704
931,164.703703703704
932,164.703703703704
933,164.703703703704
934,164.703703703704
935,164.703703703704
936,164.703703703704
937,118.388888888889
938,118.388888888889
939,118.388888888889
940,118.388888888889
941,118.388888888889
942,118.388888888889
943,118.388888888889
944,118.388888888889
945,118.388888888889
946,254.351851851852
947,254.351851851852
948,254.351851851852
949,254.351851851852
950,254.351851851852
951,254.351851851852
952,254.351851851852
953,254.351851851852
954,254.351851851852
955,173.953703703704
956,173.953703703704
957,173.953703703704
958,173.953703703704
959,173.953703703704
960,173.953703703704
961,173.953703703704
962,173.953703703704
963,173.953703703704
964,310.212962962963
965,310.212962962963
966,310.212962962963
967,310.212962962963
968,310.212962962963
969,310.212962962963
970,310.212962962963
971,310.212962962963
972,310.212962962963
973,317.287037037037
974,317.287037037037
975,317.287037037037
976,317.287037037037
977,317.287037037037
978,317.287037037037
979,317.287037037037
980,317.287037037037
981,317.287037037037
982,122.717592592593
983,122.717592592593
984,122.717592592593
985,122.717592592593
986,122.717592592593
987,122.717592592593
988,122.717592592593
989,122.717592592593
990,122.717592592593
991,76.8796296296296
992,76.8796296296296
993,76.8796296296296
994,76.8796296296296
995,76.8796296296296
996,76.8796296296296
997,76.8796296296296
998,76.8796296296296
999,76.8796296296296
1000,122.717592592593
1001,122.717592592593
1002,122.717592592593
1003,122.717592592593
1004,122.717592592593
1005,122.717592592593
1006,122.717592592593
1007,122.717592592593
1008,122.717592592593
1009,222.138888888889
1010,222.138888888889
1011,222.138888888889
1012,222.138888888889
1013,222.138888888889
1014,222.138888888889
1015,222.138888888889
1016,222.138888888889
1017,222.138888888889
1018,222.138888888889
1019,222.138888888889
1020,222.138888888889
1021,222.138888888889
1022,222.138888888889
1023,222.138888888889
1024,222.138888888889
1025,222.138888888889
1026,222.138888888889
1027,91.0648148148148
1028,91.0648148148148
1029,91.0648148148148
1030,91.0648148148148
1031,91.0648148148148
1032,91.0648148148148
1033,91.0648148148148
1034,91.0648148148148
1035,91.0648148148148
1036,91.0648148148148
1037,91.0648148148148
1038,91.0648148148148
1039,91.0648148148148
1040,91.0648148148148
1041,91.0648148148148
1042,91.0648148148148
1043,91.0648148148148
1044,91.0648148148148
1045,109.824074074074
1046,109.824074074074
1047,109.824074074074
1048,109.824074074074
1049,109.824074074074
1050,109.824074074074
1051,109.824074074074
1052,109.824074074074
1053,109.824074074074
1054,192.157407407407
1055,192.157407407407
1056,192.157407407407
1057,192.157407407407
1058,192.157407407407
1059,192.157407407407
1060,192.157407407407
1061,192.157407407407
1062,192.157407407407
1063,192.157407407407
1064,192.157407407407
