recno,date,region,household_size,area_type,weight,year,household_has_special_education_children,housing_type,dwelling_ownership,number_of_rooms,dwelling_space_sqm,moved_last_5_years,has_centralized_water,has_hot_water,has_centralized_sanitation,has_local_sanitation,has_outside_toilet,has_gas,has_bathtub_shower,has_kitchen,has_telephone,has_radio,has_electricity,has_mobile,has_computer,has_internet,water_source,water_tap_location,potable_water_hours_day,potable_water_24h,main_heating_energy,heating_spend_last_winter_amd,garbage_disposal,complaint_floor_space,complaint_noise,complaint_light,complaint_heating,complaint_humidity,complaint_leaking_roof,complaint_walls_floor,complaint_windows_doors,complaint_traffic,complaint_pollution,complaint_elevator,complaint_water_supply,complaint_garbage,complaint_common_areas,complaint_green_areas,complaint_other,dwelling_condition_estimate,dwelling_renovated,building_new_house,has_other_dwelling,any_member_household_own_work,engaged_cattle_breeding,id_number_household_member_who_11,household_sent_money_goods_12m,household_received_money_goods_12m,lent_money_12m,family_debt_amount,borrowed_money_12m,registered_poverty_benefit,reason_not_registered_benefit,benefit_system_justified,share_families_really_vulnerable,humanitarian_assistance_12m,money_family_need_monthly_live,drm_in_amd,drm_in_amd_2,money_family_need_monthly_make,amd_3,household_has_car,eligible_salary_pension_not_received,hired_household_workers_12m,food_which_usually_consumed_daily,food_which_usually_consumed_daily_2,food_which_usually_consumed_daily_3,food_which_usually_consumed_daily_5,food_which_usually_consumed_daily_8,sample_weight,household_member_count,household_mean_age,household_income_total,household_income_source_count,food_purchases_total,services_goods_total,goods_services_total
21,1,1,6,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1.0,31.0,24.0,3,120000.0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2.0,2,2,2,250000,1,4,3.0,4,6,2,0,0,500000,1.0,500000.0,2,2,2,1.0,10.0,1.0,,100.0,164.703703703704,6,41.166666666666664,293000.0,5.0,72683.7,235522.0,749.0
22,1,1,6,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,150000.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,1.0,2,2,2,350000,2,4,3.0,4,6,2,0,0,0,,,2,2,2,1.0,,0.5,,50.0,164.703703703704,6,38.0,266000.0,3.0,37663.66,185542.0,749.0
23,1,1,5,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,2,45000.0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,,2,1,2,160000,2,4,3.0,4,6,2,0,0,300000,1.0,300000.0,2,2,2,1.0,20.0,0.5,,,164.703703703704,5,42.8,146000.0,4.0,67248.9,189079.0,748.0
24,1,1,3,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,110000.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2.0,2,1,2,0,2,4,3.0,4,6,2,0,0,250000,1.0,250000.0,2,2,2,0.5,10.0,0.2,,,164.703703703704,3,50.666666666666664,36000.0,1.0,54530.9,171382.0,749.0
25,1,1,2,0,164.703703703704,2015,2,2,1,3.0,76.0,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,60000.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2.0,2,2,2,150000,1,4,3.0,4,6,2,0,0,1000,3.0,475730.0,2,2,2,0.5,10.0,0.4,,50.0,164.703703703704,2,44.0,230000.0,2.0,70577.95,174723.0,747.0
26,1,1,2,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,31.0,24.0,3,120000.0,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,,2,2,2,0,2,4,3.0,4,6,2,0,2000,200,1.0,200.0,2,2,2,0.5,20.0,0.5,,200.0,164.703703703704,2,63.0,224000.0,2.0,60661.1,178928.0,749.0
27,1,1,1,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,2,30000.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,4,2,2,,2,1,2,0,2,4,3.0,4,6,2,0,0,0,,,2,2,2,0.3,10.0,0.2,,50.0,164.703703703704,1,48.0,450.0,1.0,62527.35,69258.0,750.0
28,1,1,4,0,24.0277777777778,2015,2,1,1,3.0,70.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,24.0,3,250000.0,3,1,2,1,1,1,2,2,2,2,2,3,2,2,3,2,2,3,2,2,4,2,2,2.0,1,1,2,800000,1,4,3.0,1,1,2,0,0,300000,1.0,300000.0,1,1,2,1.0,50.0,1.0,50.0,,24.0277777777778,4,34.0,340000.0,2.0,83715.5,558679.0,80744.0
29,1,1,10,0,24.0277777777778,2015,2,1,1,4.0,120.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,24.0,6,150000.0,3,2,2,1,2,2,2,1,1,2,2,3,2,1,3,1,2,3,3,2,4,2,2,4.0,2,1,2,1000000,1,4,6.0,1,1,2,0,2000000,350000,1.0,350000.0,2,2,2,2.5,,1.0,60.0,,24.0277777777778,10,34.5,332000.0,5.0,89755.15,1064261.0,60750.0
30,1,1,4,0,24.0277777777778,2015,2,1,1,4.0,100.0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,8.0,3,150000.0,3,2,2,2,1,1,1,1,2,2,2,3,2,2,3,2,2,3,1,2,4,2,2,2.0,1,1,2,0,2,4,3.0,3,2,2,0,4000000,300000,1.0,300000.0,2,2,2,0.3,30.0,0.3,30.0,,24.0277777777778,4,36.0,630000.0,2.0,125986.05,201693.0,600747.0
