marz,date,year,month,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Armavir,2016-03-01,2016,3,29.36666666666638,1.3833333333332802,70.63333333333362,266470.6666666666,377.50000000000205,654.3333333333348,465.00000000000364,11.500000000000227,1319.5000000000052,188.66666666666652,196.33333333333303,52.0,964.1666666666617,355.0,13258.999999999953,4.0,401.16666666666583,61.0,495.18871321392356,141.67134730211293,1.5011054569078788,13.322310930057425
Armavir,2016-04-01,2016,4,29.05,1.325,70.95,266399.5,379.75,656.0,469.0,11.75,1325.25,188.5,196.0,52.0,958.75,355.0,13206.5,4.0,400.25,61.0,497.4837033233745,142.55544319814499,1.5015072174795314,13.32587655513084
Armavir,2016-05-01,2016,5,28.733333333333622,1.2666666666667197,71.26666666666638,266328.3333333334,381.99999999999795,657.6666666666652,472.99999999999636,11.999999999999773,1330.9999999999948,188.33333333333348,195.66666666666697,52.0,953.3333333333383,355.0,13154.000000000047,4.0,399.33333333333417,61.0,499.77869343282555,143.43953909417704,1.501908978051184,13.329442180204257
Armavir,2016-06-01,2016,6,28.41666666666638,1.2083333333332802,71.58333333333363,266257.1666666666,384.25000000000205,659.3333333333348,477.00000000000364,12.250000000000227,1336.7500000000052,188.16666666666652,195.33333333333303,52.0,947.9166666666617,355.0,13101.499999999953,4.0,398.41666666666583,61.0,502.0736835422828,144.32363499021153,1.5023107386228378,13.333007805277683
Armavir,2016-07-01,2016,7,28.1,1.15,71.9,266186.0,386.5,661.0,481.0,12.5,1342.5,188.0,195.0,52.0,942.5,355.0,13049.0,4.0,397.5,61.0,504.36867365173384,145.20773088624358,1.5027124991944905,13.3365734303511
Armavir,2016-08-01,2016,8,27.783333333333623,1.0916666666667196,72.21666666666637,266114.8333333334,388.74999999999795,662.6666666666652,484.99999999999636,12.749999999999773,1348.2499999999948,187.83333333333348,194.66666666666697,52.0,937.0833333333383,355.0,12996.500000000047,4.0,396.58333333333417,61.0,506.6636637611848,146.09182678227563,1.5031142597661429,13.340139055424517
Armavir,2016-09-01,2016,9,27.466666666666377,1.0333333333332804,72.53333333333362,266043.6666666666,391.00000000000205,664.3333333333348,489.00000000000364,13.000000000000227,1354.0000000000052,187.66666666666652,194.33333333333303,52.0,931.6666666666617,355.0,12943.999999999953,4.0,395.66666666666583,61.0,508.9586538706421,146.97592267831013,1.5035160203377966,13.343704680497943
Armavir,2016-10-01,2016,10,27.15,0.9750000000000001,72.85,265972.5,393.25,666.0,493.0,13.25,1359.75,187.5,194.0,52.0,926.25,355.0,12891.5,4.0,394.75,61.0,511.2536439800931,147.86001857434218,1.5039177809094493,13.34727030557136
Armavir,2016-11-01,2016,11,26.83333333333362,0.9166666666667198,73.16666666666637,265901.3333333334,395.49999999999795,667.6666666666652,496.99999999999636,13.499999999999773,1365.4999999999948,187.33333333333348,193.66666666666697,52.0,920.8333333333383,355.0,12839.000000000047,4.0,393.83333333333417,61.0,513.5486340895441,148.74411447037423,1.504319541481102,13.350835930644775
Armavir,2016-12-01,2016,12,26.516666666666378,0.8583333333332803,73.48333333333362,265830.1666666666,397.75000000000205,669.3333333333348,501.00000000000364,13.750000000000227,1371.2500000000052,187.16666666666652,193.33333333333303,52.0,915.4166666666617,355.0,12786.499999999953,4.0,392.91666666666583,61.0,515.8436241990014,149.62821036640872,1.5047213020527554,13.354401555718201
Armavir,2017-01-01,2017,1,26.2,0.8,73.8,265759.0,400.0,671.0,505.0,14.0,1377.0,187.0,193.0,52.0,910.0,355.0,12734.0,4.0,392.0,61.0,518.1386143084524,150.51230626244077,1.505123062624408,13.357967180791618
Armavir,2017-02-01,2017,2,25.975000000000204,0.8083333333333258,74.02499999999979,265663.83333333343,412.83333333332166,679.5833333333255,514.6666666666579,13.500000000000455,1395.6666666666497,187.91666666666583,192.66666666666697,52.0,908.6666666666679,355.0,12743.74999999999,4.0,391.8333333333335,61.0,525.3791778076227,155.41621299485578,1.5056643639950418,13.362771230455992
Armavir,2017-03-01,2017,3,25.749999999999794,0.8166666666666743,74.2500000000002,265568.66666666657,425.66666666667834,688.1666666666745,524.3333333333421,12.999999999999545,1414.3333333333503,188.83333333333417,192.33333333333303,52.0,907.3333333333321,355.0,12753.50000000001,4.0,391.6666666666665,61.0,532.6197413068127,160.32011972728418,1.5062056653656768,13.367575280120379
Armavir,2017-04-01,2017,4,25.525,0.8250000000000001,74.475,265473.5,438.5,696.75,534.0,12.5,1433.0,189.75,192.0,52.0,906.0,355.0,12763.25,4.0,391.5,61.0,539.860304805983,165.2240264596992,1.5067469667363105,13.372379329784753
Armavir,2017-05-01,2017,5,25.300000000000203,0.8333333333333258,74.69999999999979,265378.33333333343,451.33333333332166,705.3333333333255,543.6666666666579,12.000000000000455,1451.6666666666497,190.66666666666583,191.66666666666697,52.0,904.6666666666679,355.0,12772.99999999999,4.0,391.3333333333335,61.0,547.1008683051533,170.1279331921142,1.507288268106944,13.377183379449127
Armavir,2017-06-01,2017,6,25.074999999999797,0.8416666666666743,74.9250000000002,265283.16666666657,464.16666666667834,713.9166666666745,553.3333333333421,11.499999999999545,1470.3333333333503,191.58333333333417,191.33333333333303,52.0,903.3333333333321,355.0,12782.75000000001,4.0,391.1666666666665,61.0,554.3414318043434,175.03183992454257,1.5078295694775792,13.381987429113513
Armavir,2017-07-01,2017,7,24.85,0.8500000000000001,75.15,265188.0,477.0,722.5,563.0,11.0,1489.0,192.5,191.0,52.0,902.0,355.0,12792.5,4.0,391.0,61.0,561.5819953035136,179.93574665695758,1.5083708708482129,13.386791478777887
Armavir,2017-08-01,2017,8,24.625000000000206,0.8583333333333258,75.3749999999998,265092.83333333343,489.83333333332166,731.0833333333255,572.6666666666579,10.500000000000455,1507.6666666666497,193.41666666666583,190.66666666666697,52.0,900.6666666666679,355.0,12802.24999999999,4.0,390.8333333333335,61.0,568.822558802684,184.8396533893726,1.5089121722188463,13.39159552844226
Armavir,2017-09-01,2017,9,24.399999999999796,0.8666666666666742,75.60000000000021,264997.66666666657,502.66666666667834,739.6666666666745,582.3333333333421,9.999999999999545,1526.3333333333503,194.33333333333417,190.33333333333303,52.0,899.3333333333321,355.0,12812.00000000001,4.0,390.6666666666665,61.0,576.063122301874,189.74356012180098,1.5094534735894816,13.396399578106646
Armavir,2017-10-01,2017,10,24.175,0.875,75.825,264902.5,515.5,748.25,592.0,9.5,1545.0,195.25,190.0,52.0,898.0,355.0,12821.75,4.0,390.5,61.0,583.3036858010444,194.647466854216,1.509994774960115,13.40120362777102
Armavir,2017-11-01,2017,11,23.950000000000205,0.8833333333333258,76.0499999999998,264807.33333333343,528.3333333333217,756.8333333333255,601.6666666666579,9.000000000000455,1563.6666666666497,196.16666666666583,189.66666666666697,52.0,896.6666666666679,355.0,12831.49999999999,4.0,390.3333333333335,61.0,590.5442493002147,199.551373586631,1.5105360763307487,13.406007677435394
Armavir,2017-12-01,2017,12,23.724999999999795,0.8916666666666743,76.2750000000002,264712.16666666657,541.1666666666783,765.4166666666745,611.3333333333421,8.499999999999545,1582.3333333333503,197.08333333333417,189.33333333333303,52.0,895.3333333333321,355.0,12841.25000000001,4.0,390.1666666666665,61.0,597.7848127994047,204.4552803190594,1.5110773777013837,13.41081172709978
Armavir,2018-01-01,2018,1,23.5,0.9,76.5,264617.0,554.0,774.0,621.0,8.0,1601.0,198.0,189.0,52.0,894.0,355.0,12851.0,4.0,390.0,61.0,605.025376298575,209.3591870514744,1.5116186790720174,13.415615776764154
