marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Syunik,2021,2.8,0.0,97.2,135851.0,232.0,480.0,228.0,27.0,896.0,161.0,209.0,10.0,648.0,422.0,12069.0,7.0,236.0,17.0,659.546120381889,170.7753347417391,5.1527040654835075,31.06344450905772
Vayots Dzor,2021,26.6,0.0,73.4,48124.0,116.0,183.0,72.0,5.0,303.0,43.0,99.0,5.0,186.0,85.0,1886.0,3.0,115.0,8.0,629.6234726955365,241.0439697448259,6.2338957692627375,17.662704679577757
Tavush,2021,38.2,1.3,61.8,120534.0,221.0,509.0,363.0,6.0,1021.0,143.0,200.0,18.0,512.0,219.0,9146.0,7.0,261.0,27.0,847.0638989828597,183.3507558033418,5.807490002820781,18.1691472945393
Yerevan,2022,18.5,0.2,81.5,1092778.0,7969.0,12365.0,5795.0,500.0,21604.0,2944.0,286.0,,8654.0,7898.0,341075.0,58.0,11176.0,121.0,1976.9797708226192,729.2423529756272,5.307573907966669,72.27451504331162
Aragatsotn,2022,7.9,0.0,92.1,124646.0,292.0,574.0,411.0,49.0,1161.0,127.0,182.0,16.0,519.0,180.0,6096.0,5.0,279.0,24.0,931.4378319400543,234.26343404521606,4.011360172007125,14.440896619225647
Ararat,2022,23.8,1.0,76.2,256615.0,719.0,1279.0,605.0,37.0,2167.0,246.0,243.0,50.0,853.0,480.0,16711.0,5.0,454.0,58.0,844.4557021218557,280.186271262397,1.9484441673323851,18.7050640063909
Armavir,2022,40.8,4.0,59.2,264383.0,741.0,1026.0,789.0,52.0,2161.0,294.0,220.0,52.0,830.0,371.0,15438.0,3.0,416.0,60.0,817.3747933868668,280.2752068022528,1.1347174364463675,14.032672297386746
Gegharkunik,2022,33.9,4.7,66.1,227778.0,286.0,628.0,487.0,32.0,1339.0,192.0,263.0,30.0,799.0,730.0,14746.0,7.0,369.0,40.0,587.8530850213805,125.56085311136282,3.073167733494894,32.04874922073247
Lori,2022,18.6,0.2,81.4,211677.0,688.0,1388.0,822.0,62.0,2613.0,341.0,248.0,17.0,1019.0,466.0,20978.0,6.0,541.0,40.0,1234.4279255658384,325.02350278962757,2.834507291770008,22.014673299413726
Kotayk,2022,26.1,2.0,73.9,251076.0,854.0,1275.0,906.0,29.0,2519.0,309.0,213.0,30.0,1002.0,498.0,15001.0,10.0,614.0,45.0,1003.2818748108142,340.1360544217687,3.982857780114388,19.834631744969652
Shirak,2022,41.6,3.1,58.4,230340.0,379.0,924.0,534.0,35.0,1752.0,259.0,160.0,12.0,1249.0,753.0,20774.0,11.0,578.0,33.0,760.6147434227663,164.53937657376053,4.7755491881566385,32.69080489710862
Syunik,2022,5.4,0.0,94.6,134731.0,335.0,415.0,313.0,42.0,977.0,207.0,196.0,9.0,682.0,432.0,10340.0,7.0,247.0,16.0,725.1486294913568,248.64359353081326,5.195537775270725,32.06389027024219
Vayots Dzor,2022,15.7,0.0,84.3,47584.0,112.0,173.0,175.0,29.0,422.0,45.0,101.0,5.0,198.0,85.0,1931.0,3.0,111.0,8.0,886.8527236045729,235.37323470073974,6.304640215198386,17.863147276395427
Tavush,2022,37.4,1.3,62.6,119759.0,200.0,410.0,346.0,13.0,897.0,128.0,205.0,18.0,518.0,216.0,8986.0,7.0,276.0,28.0,749.00425020249,167.00206247547158,5.845072186641505,18.03622274735093
