marz,date,year,month,day,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Armavir,2016-02-01,2016,2,1,29.68333333333362,1.4416666666667197,70.31666666666638,266541.8333333334,375.24999999999795,652.6666666666652,460.99999999999636,11.249999999999773,1313.7499999999948,188.83333333333348,196.66666666666697,52.0,969.5833333333383,355.0,13311.500000000047,4.0,402.08333333333417,61.0,492.8937231044663,140.78725140607844,1.5007036963362252,13.318745304983999
Armavir,2016-02-02,2016,2,2,29.672413793103715,1.4396551724138424,70.32758620689629,266539.37931034487,375.32758620689464,652.724137931033,461.1379310344794,11.258620689654961,1313.948275862064,188.82758620689668,196.6551724137934,52.0,969.3965517241426,355.0,13309.689655172459,4.0,402.0517241379318,61.0,492.97286069444755,140.81773747145894,1.5007175501490408,13.318868257572738
Armavir,2016-02-03,2016,2,3,29.661494252873812,1.4376436781609652,70.33850574712619,266536.92528735637,375.4051724137913,652.781609195401,461.2758620689624,11.267241379310148,1314.1465517241334,188.8218390804599,196.6436781609198,52.0,969.2097701149468,355.0,13307.879310344868,4.0,402.02011494252946,61.0,493.05199828442886,140.84822353683944,1.5007314039618564,13.318991210161476
Armavir,2016-02-04,2016,2,4,29.650574712643905,1.435632183908088,70.3494252873561,266534.47126436786,375.48275862068806,652.8390804597689,461.4137931034454,11.275862068965337,1314.3448275862027,188.8160919540231,196.63218390804622,52.0,969.0229885057511,355.0,13306.06896551728,4.0,401.9885057471271,61.0,493.1311358744101,140.87870960221994,1.5007452577746723,13.319114162750216
Armavir,2016-02-05,2016,2,5,29.639655172414002,1.4336206896552108,70.360344827586,266532.01724137936,375.56034482758474,652.8965517241369,461.5517241379284,11.284482758620525,1314.5431034482722,188.8103448275863,196.62068965517264,52.0,968.8362068965553,355.0,13304.258620689689,4.0,401.95689655172475,61.0,493.21027346439143,140.90919566760044,1.5007591115874879,13.319237115338954
Armavir,2016-02-06,2016,2,6,29.628735632184096,1.4316091954023336,70.3712643678159,266529.5632183908,375.6379310344814,652.9540229885048,461.6896551724114,11.293103448275714,1314.7413793103415,188.80459770114953,196.60919540229904,52.0,968.6494252873596,355.0,13302.4482758621,4.0,401.9252873563224,61.0,493.2894110543727,140.93968173298094,1.5007729654003035,13.319360067927693
Armavir,2016-02-07,2016,2,7,29.617816091954193,1.4295977011494563,70.3821839080458,266527.1091954023,375.7155172413781,653.0114942528727,461.8275862068944,11.3017241379309,1314.9396551724108,188.79885057471273,196.59770114942546,52.0,968.4626436781638,355.0,13300.637931034511,4.0,401.89367816092005,61.0,493.368548644354,140.97016779836144,1.500786819213119,13.319483020516431
Armavir,2016-02-08,2016,2,8,29.606896551724287,1.4275862068965792,70.39310344827571,266524.6551724138,375.7931034482748,653.0689655172406,461.9655172413774,11.31034482758609,1315.13793103448,188.79310344827593,196.5862068965519,52.0,968.2758620689681,355.0,13298.82758620692,4.0,401.86206896551766,61.0,493.44768623433526,141.00065386374195,1.5008006730259347,13.31960597310517
Armavir,2016-02-09,2016,2,9,29.595977011494384,1.425574712643702,70.40402298850562,266522.2011494253,375.8706896551715,653.1264367816085,462.10344827586044,11.318965517241278,1315.3362068965494,188.78735632183916,196.5747126436783,52.0,968.0890804597723,355.0,13297.017241379332,4.0,401.83045977011534,61.0,493.5268238243166,141.03113992912245,1.5008145268387503,13.319728925693909
Armavir,2016-02-10,2016,2,10,29.585057471264477,1.4235632183908247,70.41494252873552,266519.7471264368,375.9482758620682,653.1839080459764,462.24137931034346,11.327586206896466,1315.5344827586187,188.78160919540235,196.5632183908047,52.0,967.9022988505766,355.0,13295.206896551743,4.0,401.79885057471296,61.0,493.60596141429784,141.06162599450295,1.500828380651566,13.319851878282648
Armavir,2016-02-11,2016,2,11,29.57413793103457,1.4215517241379474,70.42586206896543,266517.2931034483,376.0258620689649,653.2413793103443,462.3793103448265,11.336206896551653,1315.732758620688,188.77586206896555,196.55172413793113,52.0,967.7155172413809,355.0,13293.396551724152,4.0,401.7672413793106,61.0,493.68509900427915,141.09211205988345,1.5008422344643817,13.319974830871388
Armavir,2016-02-12,2016,2,12,29.563218390804668,1.4195402298850703,70.43678160919534,266514.8390804598,376.1034482758616,653.2988505747123,462.51724137930944,11.344827586206842,1315.9310344827575,188.77011494252878,196.54022988505756,52.0,967.5287356321851,355.0,13291.586206896563,4.0,401.73563218390825,61.0,493.7642365942604,141.12259812526395,1.5008560882771973,13.320097783460126
Armavir,2016-02-13,2016,2,13,29.55229885057476,1.417528735632193,70.44770114942524,266512.3850574713,376.18103448275826,653.3563218390802,462.65517241379246,11.35344827586203,1316.1293103448268,188.76436781609198,196.52873563218395,52.0,967.3419540229894,355.0,13289.775862068973,4.0,401.70402298850587,61.0,493.8433741842417,141.15308419064445,1.500869942090013,13.320220736048865
Armavir,2016-02-14,2016,2,14,29.54137931034486,1.4155172413793158,70.45862068965515,266509.9310344828,376.25862068965495,653.4137931034481,462.7931034482755,11.362068965517217,1316.327586206896,188.75862068965517,196.51724137931038,52.0,967.1551724137936,355.0,13287.965517241384,4.0,401.67241379310354,61.0,493.922511774223,141.18357025602495,1.5008837959028285,13.320343688637603
Armavir,2016-02-15,2016,2,15,29.530459770114952,1.4135057471264385,70.46954022988506,266507.4770114943,376.33620689655163,653.471264367816,462.9310344827585,11.370689655172406,1316.5258620689654,188.7528735632184,196.5057471264368,52.0,966.9683908045979,355.0,13286.155172413795,4.0,401.64080459770116,61.0,494.0016493642043,141.21405632140545,1.500897649715644,13.320466641226343
Armavir,2016-02-16,2016,2,16,29.51954022988505,1.4114942528735615,70.48045977011495,266505.0229885057,376.41379310344837,653.528735632184,463.0689655172415,11.379310344827594,1316.7241379310346,188.7471264367816,196.4942528735632,52.0,966.7816091954021,355.0,13284.344827586205,4.0,401.60919540229884,61.0,494.08078695418556,141.24454238678592,1.50091150352846,13.32058959381508
Armavir,2016-02-17,2016,2,17,29.508620689655142,1.4094827586206842,70.49137931034485,266502.5689655172,376.49137931034505,653.5862068965519,463.2068965517245,11.387931034482783,1316.922413793104,188.74137931034483,196.48275862068962,52.0,966.5948275862064,355.0,13282.534482758616,4.0,401.57758620689646,61.0,494.15992454416687,141.27502845216642,1.5009253573412755,13.32071254640382
Armavir,2016-02-18,2016,2,18,29.49770114942524,1.407471264367807,70.50229885057476,266500.1149425287,376.56896551724174,653.6436781609198,463.34482758620754,11.39655172413797,1317.1206896551732,188.73563218390802,196.47126436781605,52.0,966.4080459770106,355.0,13280.724137931027,4.0,401.54597701149413,61.0,494.2390621341481,141.30551451754692,1.5009392111540911,13.320835498992558
