marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population
Ararat,2021.0,28.0,1.0,72.0,
Armavir,2021.0,37.9,4.0,62.1,263944.0
Gegharkunik,2021.0,49.1,4.7,50.9,
Lori,2021.0,21.8,0.2,78.2,212566.0
Kotayk,2021.0,23.6,2.0,76.4,251177.0
Shirak,2021.0,46.9,3.1,53.1,230963.0
Syunik,2021.0,2.8,0.0,97.2,
Vayots Dzor,2021.0,26.6,0.0,73.4,48124.0
Tavush,2021.0,38.2,1.3,61.8,120534.0
Yerevan,2022.0,18.5,0.2,81.5,
Aragatsotn,2022.0,7.9,0.0,92.1,124646.0
Ararat,2022.0,23.8,1.0,76.2,
Armavir,2022.0,40.8,4.0,59.2,264383.0
Gegharkunik,2022.0,33.9,4.7,66.1,
Lori,2022.0,18.6,0.2,81.4,211677.0
Kotayk,2022.0,26.1,2.0,73.9,251076.0
Shirak,2022.0,41.6,3.1,58.4,230340.0
Syunik,2022.0,5.4,0.0,94.6,
Vayots Dzor,2022.0,15.7,0.0,84.3,47584.0
Tavush,2022.0,37.4,1.3,62.6,119759.0
Yerevan,2023.0,17.9,0.2,82.1,
Aragatsotn,2023.0,9.2,0.0,90.8,
Ararat,2023.0,30.3,1.8,69.7,
Armavir,2023.0,25.9,1.6,74.1,
Gegharkunik,2023.0,35.4,3.1,64.6,
Lori,2023.0,14.2,0.3,85.8,
Kotayk,2023.0,23.2,0.0,76.8,
Shirak,2023.0,43.1,4.0,56.9,
Syunik,2023.0,7.0,0.0,93.0,
Vayots Dzor,2023.0,30.9,0.4,69.1,
Tavush,2023.0,37.2,2.6,62.8,
Yerevan,2024.0,16.9,0.4,83.1,
Aragatsotn,2024.0,7.6,0.0,92.4,
Ararat,2024.0,15.7,0.0,84.3,
Armavir,2024.0,27.0,0.6,73.0,
Gegharkunik,2024.0,27.6,0.4,72.4,
Lori,2024.0,20.4,1.0,79.6,
Kotayk,2024.0,24.8,0.3,75.2,
Shirak,2024.0,43.0,2.4,57.0,
Syunik,2024.0,6.2,0.0,93.8,
Vayots Dzor,2024.0,30.3,0.0,69.7,
Tavush,2024.0,39.9,2.0,60.1,
