marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k,z_poverty,z_crime,z_hospitals,z_health_inverted,stress_index
Ararat,2021,28.0,1.0,72.0,256630.0,755.0,1194.0,519.0,19.0,1922.0,190.0,259.0,50.0,892.0,480.0,15915.0,5.0,454.0,59.0,748.9381599968827,294.1978724233332,1.948330280949227,18.703970697112577,0.10599910033641252,0.18841820486606028,-1.4954829840313726,1.4954829840313726,1.1248989331888233
Armavir,2021,37.9,4.0,62.1,263944.0,676.0,923.0,643.0,30.0,1851.0,255.0,240.0,52.0,819.0,365.0,15242.0,4.0,401.0,59.0,701.285121086291,256.1149334707362,1.5154729791167822,13.82869093444064,1.0088271918050964,0.01512652382378243,-1.7804679536585852,1.7804679536585852,1.7624953540531756
Gegharkunik,2021,49.1,4.7,50.9,227269.0,271.0,621.0,500.0,2.0,1250.0,127.0,288.0,30.0,827.0,730.0,15359.0,7.0,358.0,40.0,550.0090201479304,119.24195556807132,3.080050512828411,32.12052677663914,2.0302084670019918,-0.5349934775955418,-0.7503800262131,0.7503800262131,1.4112894738543433
Lori,2021,21.8,0.2,78.2,212566.0,766.0,958.0,666.0,24.0,1974.0,326.0,254.0,17.0,1034.0,589.0,22835.0,6.0,529.0,40.0,928.6527478524316,360.358665073436,2.8226527290347465,27.7090409566911,-0.4594083912904401,0.8419556024649808,-0.9198458046255528,0.9198458046255528,0.8185151557761962
Kotayk,2021,23.6,2.0,76.4,251177.0,1073.0,1266.0,766.0,20.0,2428.0,376.0,210.0,30.0,996.0,495.0,15023.0,10.0,610.0,45.0,966.6490164306445,427.1887951524224,3.981256245595735,19.70721841569889,-0.2952578292052247,0.9801301534648935,-0.15704340628475566,0.15704340628475566,0.5291189195403162
Shirak,2021,46.9,3.1,53.1,230963.0,294.0,667.0,456.0,10.0,1324.0,191.0,164.0,12.0,1209.0,757.0,20958.0,12.0,565.0,32.0,573.2519927434264,127.29311621341948,5.1956373964661005,32.775812576040316,1.829580002231173,-0.45046972243587147,0.6424819198020743,-0.6424819198020743,0.46294894821638577
Syunik,2021,2.8,0.0,97.2,135851.0,232.0,480.0,228.0,27.0,896.0,161.0,209.0,10.0,648.0,422.0,12069.0,7.0,236.0,17.0,659.546120381889,170.7753347417391,5.1527040654835075,31.06344450905772,-2.192108768856601,-0.13665858290700772,0.6142154357338315,-0.6142154357338315,-1.849576883115653
Vayots Dzor,2021,26.6,0.0,73.4,48124.0,116.0,183.0,72.0,5.0,303.0,43.0,99.0,5.0,186.0,85.0,1886.0,3.0,115.0,8.0,629.6234726955365,241.0439697448259,6.2338957692627375,17.662704679577757,-0.02167355906319924,-0.24547317348396477,1.3260513769512217,-1.3260513769512217,-1.0012774814960885
Tavush,2021,38.2,1.3,61.8,120534.0,221.0,509.0,363.0,6.0,1021.0,143.0,200.0,18.0,512.0,219.0,9146.0,7.0,261.0,27.0,847.0638989828597,183.3507558033418,5.807490002820781,18.1691472945393,1.0361856188192995,0.5452553479137455,1.0453139748468945,-1.0453139748468945,0.33693981997433564
Yerevan,2022,18.5,0.2,81.5,1092778.0,7969.0,12365.0,5795.0,500.0,21604.0,2944.0,286.0,,8654.0,7898.0,341075.0,58.0,11176.0,121.0,1976.9797708226192,729.2423529756272,5.307573907966669,72.27451504331162,-0.7603510884466682,4.65422773128764,0.7161787783166936,-0.7161787783166936,1.9970883067066496
