category,marz,year,value
Number of minor offense,Vayots Dzor,2021,183.0
Number of minor offense,Vayots Dzor,2022,173.0
Number of minor offense,Vayots Dzor,2023,174.0
Number of minor offense,Vayots Dzor,2024,346.0
Number of minor offense,Tavush,2016,314.0
Number of minor offense,Tavush,2017,330.0
Number of minor offense,Tavush,2018,429.0
Number of minor offense,Tavush,2019,446.0
Number of minor offense,Tavush,2020,532.0
Number of minor offense,Tavush,2021,509.0
Number of minor offense,Tavush,2022,410.0
Number of minor offense,Tavush,2023,596.0
Number of minor offense,Tavush,2024,655.0
Number of minor offense,Total Ra,2016,9381.0
Number of minor offense,Total Ra,2017,11043.0
Number of minor offense,Total Ra,2018,12882.0
Number of minor offense,Total Ra,2019,13685.0
Number of minor offense,Total Ra,2020,13629.0
Number of minor offense,Total Ra,2021,16520.0
Number of minor offense,Total Ra,2022,20457.0
Number of minor offense,Total Ra,2023,18905.0
Number of minor offense,Total Ra,2024,19160.0
Number of moderately serious offense,Yerevan,2016,2917.0
Number of moderately serious offense,Yerevan,2017,2956.0
Number of moderately serious offense,Yerevan,2018,3742.0
Number of moderately serious offense,Yerevan,2019,4260.0
Number of moderately serious offense,Yerevan,2020,4247.0
Number of moderately serious offense,Yerevan,2021,4440.0
Number of moderately serious offense,Yerevan,2022,5795.0
Number of moderately serious offense,Yerevan,2023,6769.0
Number of moderately serious offense,Yerevan,2024,6341.0
Number of moderately serious offense,Aragatsotn,2016,259.0
Number of moderately serious offense,Aragatsotn,2017,310.0
Number of moderately serious offense,Aragatsotn,2018,291.0
Number of moderately serious offense,Aragatsotn,2019,300.0
Number of moderately serious offense,Aragatsotn,2020,261.0
Number of moderately serious offense,Aragatsotn,2021,259.0
Number of moderately serious offense,Aragatsotn,2022,411.0
Number of moderately serious offense,Aragatsotn,2023,439.0
Number of moderately serious offense,Aragatsotn,2024,483.0
Number of moderately serious offense,Ararat,2016,417.0
Number of moderately serious offense,Ararat,2017,364.0
Number of moderately serious offense,Ararat,2018,475.0
Number of moderately serious offense,Ararat,2019,476.0
Number of moderately serious offense,Ararat,2020,509.0
Number of moderately serious offense,Ararat,2021,519.0
Number of moderately serious offense,Ararat,2022,605.0
Number of moderately serious offense,Ararat,2023,859.0
Number of moderately serious offense,Ararat,2024,859.0
Number of moderately serious offense,Armavir,2016,457.0
Number of moderately serious offense,Armavir,2017,505.0
Number of moderately serious offense,Armavir,2018,621.0
Number of moderately serious offense,Armavir,2019,576.0
Number of moderately serious offense,Armavir,2020,571.0
Number of moderately serious offense,Armavir,2021,643.0
Number of moderately serious offense,Armavir,2022,789.0
Number of moderately serious offense,Armavir,2023,1037.0
Number of moderately serious offense,Armavir,2024,942.0
Number of moderately serious offense,Gegharkunik,2016,320.0
Number of moderately serious offense,Gegharkunik,2017,249.0
Number of moderately serious offense,Gegharkunik,2018,311.0
Number of moderately serious offense,Gegharkunik,2019,396.0
Number of moderately serious offense,Gegharkunik,2020,382.0
Number of moderately serious offense,Gegharkunik,2021,500.0
Number of moderately serious offense,Gegharkunik,2022,487.0
Number of moderately serious offense,Gegharkunik,2023,606.0
Number of moderately serious offense,Gegharkunik,2024,517.0
Number of moderately serious offense,Lori,2016,399.0
Number of moderately serious offense,Lori,2017,424.0
Number of moderately serious offense,Lori,2018,625.0
Number of moderately serious offense,Lori,2019,561.0
Number of moderately serious offense,Lori,2020,582.0
Number of moderately serious offense,Lori,2021,666.0
Number of moderately serious offense,Lori,2022,822.0
Number of moderately serious offense,Lori,2023,1035.0
Number of moderately serious offense,Lori,2024,1063.0
Number of moderately serious offense,Kotayk,2016,501.0
Number of moderately serious offense,Kotayk,2017,560.0
Number of moderately serious offense,Kotayk,2018,669.0
Number of moderately serious offense,Kotayk,2019,630.0
Number of moderately serious offense,Kotayk,2020,737.0
Number of moderately serious offense,Kotayk,2021,766.0
Number of moderately serious offense,Kotayk,2022,906.0
Number of moderately serious offense,Kotayk,2023,1059.0
Number of moderately serious offense,Kotayk,2024,1079.0
Number of moderately serious offense,Shirak,2016,357.0
Number of moderately serious offense,Shirak,2017,443.0
Number of moderately serious offense,Shirak,2018,475.0
Number of moderately serious offense,Shirak,2019,545.0
Number of moderately serious offense,Shirak,2020,427.0
Number of moderately serious offense,Shirak,2021,456.0
Number of moderately serious offense,Shirak,2022,534.0
Number of moderately serious offense,Shirak,2023,804.0
Number of moderately serious offense,Shirak,2024,839.0
Number of moderately serious offense,Syunik,2016,188.0
Number of moderately serious offense,Syunik,2017,194.0
Number of moderately serious offense,Syunik,2018,219.0
Number of moderately serious offense,Syunik,2019,253.0
Number of moderately serious offense,Syunik,2020,230.0
Number of moderately serious offense,Syunik,2021,228.0
Number of moderately serious offense,Syunik,2022,313.0
Number of moderately serious offense,Syunik,2023,498.0
Number of moderately serious offense,Syunik,2024,464.0
Number of moderately serious offense,Vayots Dzor,2016,38.0
Number of moderately serious offense,Vayots Dzor,2017,50.0
Number of moderately serious offense,Vayots Dzor,2018,80.0
Number of moderately serious offense,Vayots Dzor,2019,87.0
Number of moderately serious offense,Vayots Dzor,2020,79.0
Number of moderately serious offense,Vayots Dzor,2021,72.0
Number of moderately serious offense,Vayots Dzor,2022,175.0
Number of moderately serious offense,Vayots Dzor,2023,193.0
Number of moderately serious offense,Vayots Dzor,2024,226.0
Number of moderately serious offense,Tavush,2016,250.0
Number of moderately serious offense,Tavush,2017,293.0
Number of moderately serious offense,Tavush,2018,421.0
Number of moderately serious offense,Tavush,2019,306.0
Number of moderately serious offense,Tavush,2020,300.0
Number of moderately serious offense,Tavush,2021,363.0
Number of moderately serious offense,Tavush,2022,346.0
Number of moderately serious offense,Tavush,2023,614.0
Number of moderately serious offense,Tavush,2024,602.0
Number of moderately serious offense,Total Ra,2016,6103.0
Number of moderately serious offense,Total Ra,2017,6348.0
Number of moderately serious offense,Total Ra,2018,7929.0
Number of moderately serious offense,Total Ra,2019,8390.0
Number of moderately serious offense,Total Ra,2020,8325.0
Number of moderately serious offense,Total Ra,2021,8912.0
Number of moderately serious offense,Total Ra,2022,11183.0
Number of moderately serious offense,Total Ra,2023,13913.0
Number of moderately serious offense,Total Ra,2024,13415.0
Number of serious offences,Yerevan,2016,1800.0
Number of serious offences,Yerevan,2017,1591.0
Number of serious offences,Yerevan,2018,2115.0
Number of serious offences,Yerevan,2019,2609.0
Number of serious offences,Yerevan,2020,2256.0
Number of serious offences,Yerevan,2021,2551.0
Number of serious offences,Yerevan,2022,2944.0
Number of serious offences,Yerevan,2023,3426.0
Number of serious offences,Yerevan,2024,2846.0
Number of serious offences,Aragatsotn,2016,70.0
Number of serious offences,Aragatsotn,2017,65.0
Number of serious offences,Aragatsotn,2018,87.0
Number of serious offences,Aragatsotn,2019,82.0
Number of serious offences,Aragatsotn,2020,122.0
Number of serious offences,Aragatsotn,2021,100.0
Number of serious offences,Aragatsotn,2022,127.0
Number of serious offences,Aragatsotn,2023,199.0
Number of serious offences,Aragatsotn,2024,181.0
Number of serious offences,Ararat,2016,157.0
Number of serious offences,Ararat,2017,154.0
Number of serious offences,Ararat,2018,183.0
Number of serious offences,Ararat,2019,232.0
Number of serious offences,Ararat,2020,233.0
Number of serious offences,Ararat,2021,190.0
Number of serious offences,Ararat,2022,246.0
Number of serious offences,Ararat,2023,258.0
Number of serious offences,Ararat,2024,242.0
Number of serious offences,Armavir,2016,189.0
Number of serious offences,Armavir,2017,187.0
Number of serious offences,Armavir,2018,198.0
Number of serious offences,Armavir,2019,241.0
Number of serious offences,Armavir,2020,233.0
Number of serious offences,Armavir,2021,255.0
Number of serious offences,Armavir,2022,294.0
Number of serious offences,Armavir,2023,493.0
Number of serious offences,Armavir,2024,457.0
Number of serious offences,Gegharkunik,2016,82.0
Number of serious offences,Gegharkunik,2017,69.0
Number of serious offences,Gegharkunik,2018,101.0
Number of serious offences,Gegharkunik,2019,171.0
Number of serious offences,Gegharkunik,2020,134.0
